Name,Anime_url,Positive_ratio,Total_reviews
Yamakoshi Mura no Mari to Sanbiki no Koinu,https://myanimelist.net/anime/30985/Yamakoshi_Mura_no_Mari_to_Sanbiki_no_Koinu,0.0,0
Zero Tester: Chikyuu wo Mamore!,https://myanimelist.net/anime/9522/Zero_Tester__Chikyuu_wo_Mamore,0.0,0
0-sen Hayato Pilot,https://myanimelist.net/anime/33978/0-sen_Hayato_Pilot,0.0,0
100-nichikan Ikita Wani,https://myanimelist.net/anime/48352/100-nichikan_Ikita_Wani,37.72866923643182,1
Ai no Wakakusa Yama Monogatari,https://myanimelist.net/anime/6075/Ai_no_Wakakusa_Yama_Monogatari,0.0,0
Alexander Senki,https://myanimelist.net/anime/1442/Alexander_Senki,48.00020133407585,8
Ame to Shoujo to Watashi no Tegami,https://myanimelist.net/anime/1223/Ame_to_Shoujo_to_Watashi_no_Tegami,52.5809604648676,5
Backkom Sports,https://myanimelist.net/anime/25967/Backkom_Sports,0.0,0
Chiruri,https://myanimelist.net/anime/39872/Chiruri,0.0,1
Dededen,https://myanimelist.net/anime/30289/Dededen,0.0,0
Dokyuu Hentai HxEros,https://myanimelist.net/anime/40623/Dokyuu_Hentai_HxEros,39.62877604700634,36
Dragon's Dogma,https://myanimelist.net/anime/39519/Dragons_Dogma,38.69711749886853,27
Duel Masters Victory V,https://myanimelist.net/anime/21997/Duel_Masters_Victory_V,0.0,0
Gulliver no Uchuu Ryokou,https://myanimelist.net/anime/2833/Gulliver_no_Uchuu_Ryokou,83.71608445397946,1
Hello Kitty no Alps no Shoujo Heidi II: Klara to no Deai,https://myanimelist.net/anime/18587/Hello_Kitty_no_Alps_no_Shoujo_Heidi_II__Klara_to_no_Deai,0.0,0
Hello Kitty no Circus ga Yatte Kita,https://myanimelist.net/anime/22455/Hello_Kitty_no_Circus_ga_Yatte_Kita,0.0,0
Hello Kitty no Hajimete no Christmas Cake,https://myanimelist.net/anime/29535/Hello_Kitty_no_Hajimete_no_Christmas_Cake,0.0,0
Jeremy no Ki,https://myanimelist.net/anime/29207/Jeremy_no_Ki,0.0,0
Ima no Watashi ni Dekiru Koto...,https://myanimelist.net/anime/34179/Ima_no_Watashi_ni_Dekiru_Koto,0.0,0
"Kanojo, Okarishimasu Petit 2nd Season",https://myanimelist.net/anime/52562/Kanojo_Okarishimasu_Petit_2nd_Season,0.0,0
Kotetsu no Daibouken,https://myanimelist.net/anime/2527/Kotetsu_no_Daibouken,85.77334233266333,1
Match Uri no Shoujo,https://myanimelist.net/anime/11693/Match_Uri_no_Shoujo,0.0,0
Oniku Daisuki! Zeushi-kun: Suteki na Hamburger,https://myanimelist.net/anime/32666/Oniku_Daisuki_Zeushi-kun__Suteki_na_Hamburger,0.0,0
Adachi to Shimamura Mini Anime,https://myanimelist.net/anime/44590/Adachi_to_Shimamura_Mini_Anime,0.0,0
Animegatari,https://myanimelist.net/anime/30617/Animegatari,0.0,0
Backkom 2,https://myanimelist.net/anime/25965/Backkom_2,0.0,0
Bear Bear Bear Kuma Punch!,https://myanimelist.net/anime/55225/Bear_Bear_Bear_Kuma_Punch,0.0,0
Carole & Tuesday Specials,https://myanimelist.net/anime/40013/Carole___Tuesday_Specials,0.0,0
Down Load: Namu Amida Butsu wa Ai no Uta,https://myanimelist.net/anime/3152/Down_Load__Namu_Amida_Butsu_wa_Ai_no_Uta,48.5225754959017,3
Endless Vide,https://myanimelist.net/anime/49122/Endless_Vide,50.34973105543148,1
Guardian Hearts-Power UP!,https://myanimelist.net/anime/3157/Guardian_Hearts-Power_UP,0.0,0
Fairy Gone,https://myanimelist.net/anime/39063/Fairy_Gone,34.106274851316044,41
Gundam: G no Reconguista,https://myanimelist.net/anime/23259/Gundam__G_no_Reconguista,44.56080356371842,33
Hei Mao Jing Zhang (1992),https://myanimelist.net/anime/34511/Hei_Mao_Jing_Zhang_1992,0.0,0
Hello Kitty no Momotarou,https://myanimelist.net/anime/22447/Hello_Kitty_no_Momotarou,0.0,0
"Boku no Imouto wa ""Osaka Okan"": Uchi no Oniichan wa Tokyo Rule",https://myanimelist.net/anime/18419/Boku_no_Imouto_wa_Osaka_Okan__Uchi_no_Oniichan_wa_Tokyo_Rule,0.0,0
Jingai-san no Yome,https://myanimelist.net/anime/37992/Jingai-san_no_Yome,42.63139056976985,22
Daitai 3-pun de Wakaru .hack History,https://myanimelist.net/anime/36646/Daitai_3-pun_de_Wakaru_hack_History,0.0,0
Futari wa Milky Holmes,https://myanimelist.net/anime/17267/Futari_wa_Milky_Holmes,28.467242086405832,4
Genocyber,https://myanimelist.net/anime/2775/Genocyber,41.21449117794799,40
Glass no Chikyuu wo Sukue Unico Special,https://myanimelist.net/anime/23661/Glass_no_Chikyuu_wo_Sukue_Unico_Special,0.0,0
Gunparade Orchestra OVA,https://myanimelist.net/anime/9445/Gunparade_Orchestra_OVA,0.0,0
Hashire!,https://myanimelist.net/anime/7466/Hashire,0.0,0
Guraburu!,https://myanimelist.net/anime/41574/Guraburu,60.1754435971548,5
Heroes,https://myanimelist.net/anime/49975/Heroes,0.0,0
Hello Kitty no Cinderella (OVA),https://myanimelist.net/anime/30264/Hello_Kitty_no_Cinderella_OVA,0.0,0
Highschool Aurabuster: Hikari no Mezame,https://myanimelist.net/anime/2739/Highschool_Aurabuster__Hikari_no_Mezame,39.022247982465466,1
Human Lost: Ningen Shikkaku,https://myanimelist.net/anime/39584/Human_Lost__Ningen_Shikkaku,42.117297169818976,17
Ikimono-san,https://myanimelist.net/anime/54847/Ikimono-san,0.0,0
Idol Bouei-tai Hummingbird,https://myanimelist.net/anime/2465/Idol_Bouei-tai_Hummingbird,58.9766406448083,1
Kaibutsu-kun: Demon no Ken,https://myanimelist.net/anime/22975/Kaibutsu-kun__Demon_no_Ken,0.0,0
"Kanojo, Okarishimasu Petit 3rd Season",https://myanimelist.net/anime/56740/Kanojo_Okarishimasu_Petit_3rd_Season,0.0,0
Kerokero Keroppi no Robin Hood,https://myanimelist.net/anime/17987/Kerokero_Keroppi_no_Robin_Hood,0.0,0
Kimi no Matsu Mirai (Basho) e,https://myanimelist.net/anime/38678/Kimi_no_Matsu_Mirai_Basho_e,55.50339584823044,1
Kobayashi-san no Tsundere Kouza,https://myanimelist.net/anime/53958/Kobayashi-san_no_Tsundere_Kouza,0.0,0
Koneko no Rakugaki,https://myanimelist.net/anime/6993/Koneko_no_Rakugaki,64.16199824603251,1
Military!,https://myanimelist.net/anime/26085/Military,56.32480495577303,8
Miracle Shoujo Limit-chan,https://myanimelist.net/anime/3630/Miracle_Shoujo_Limit-chan,0.0,0
Mirai e no Kakehashi: Bridge for Future,https://myanimelist.net/anime/32251/Mirai_e_no_Kakehashi__Bridge_for_Future,0.0,0
Mr. Bond,https://myanimelist.net/anime/37687/Mr_Bond,0.0,0
Mulan: Heng Kong Chu Shi,https://myanimelist.net/anime/42641/Mulan__Heng_Kong_Chu_Shi,0.0,0
Nanairo Kakumei,https://myanimelist.net/anime/31738/Nanairo_Kakumei,24.147990667649967,1
Nanocore: NG Scenes - Nano's Daily Life,https://myanimelist.net/anime/33279/Nanocore__NG_Scenes_-_Nanos_Daily_Life,73.91764087838764,1
Nyamen: Tenkai Daiichi Joshi Koukou Bunka Matsuri Tokubetsu Eizou,https://myanimelist.net/anime/31166/Nyamen__Tenkai_Daiichi_Joshi_Koukou_Bunka_Matsuri_Tokubetsu_Eizou,0.0,0
Porong Porong Pororo 2,https://myanimelist.net/anime/27451/Porong_Porong_Pororo_2,60.71811039247687,1
Salamander,https://myanimelist.net/anime/2095/Salamander,57.9945041590403,4
Shin Seikimatsu: Yatsuto no Souguu,https://myanimelist.net/anime/22657/Shin_Seikimatsu__Yatsuto_no_Souguu,0.0,0
Saredo Tsumibito wa Ryuu to Odoru,https://myanimelist.net/anime/33889/Saredo_Tsumibito_wa_Ryuu_to_Odoru,36.52725345549332,5
Shounen Ashibe: Go! Go! Goma-chan 4,https://myanimelist.net/anime/39457/Shounen_Ashibe__Go_Go_Goma-chan_4,0.0,0
Shishunki Bishoujo Gattai Robo Z-Mind,https://myanimelist.net/anime/2731/Shishunki_Bishoujo_Gattai_Robo_Z-Mind,67.61800369075499,1
The Epic Of ZektBach,https://myanimelist.net/anime/10545/The_Epic_Of_ZektBach,39.84397083934284,6
Tamayomi,https://myanimelist.net/anime/39966/Tamayomi,56.52592008721814,25
Mianhada Saranghanda,https://myanimelist.net/anime/9254/Mianhada_Saranghanda,71.43454038497366,1
Ultraviolet: Code 044,https://myanimelist.net/anime/4264/Ultraviolet__Code_044,40.52299599930026,4
Miko Note Episode 0: Zenjitsudan,https://myanimelist.net/anime/51238/Miko_Note_Episode_0__Zenjitsudan,0.0,0
Mofumofuiction,https://myanimelist.net/anime/41183/Mofumofuiction,0.0,0
"Okoshiyasu, Chitose-chan Recaps",https://myanimelist.net/anime/38954/Okoshiyasu_Chitose-chan_Recaps,0.0,0
Porong Porong Pororo 6,https://myanimelist.net/anime/36530/Porong_Porong_Pororo_6,0.0,0
Princess Rouge,https://myanimelist.net/anime/1644/Princess_Rouge,54.47269566730383,3
Rakushou! Hyper Doll,https://myanimelist.net/anime/2522/Rakushou_Hyper_Doll,42.93227277935274,2
Saihate no Paladin: Michiyuki,https://myanimelist.net/anime/50474/Saihate_no_Paladin__Michiyuki,29.97667371449949,2
Seikima II Humane Society: Jinrui Ai ni Michita Shakai,https://myanimelist.net/anime/8745/Seikima_II_Humane_Society__Jinrui_Ai_ni_Michita_Shakai,61.78961542074851,1
Shichigahama de Mitsuketa,https://myanimelist.net/anime/48512/Shichigahama_de_Mitsuketa,60.95105618104959,1
Sweet Valerian,https://myanimelist.net/anime/2727/Sweet_Valerian,50.645921042068906,2
The Gregory Gallery Tour Special,https://myanimelist.net/anime/44588/The_Gregory_Gallery_Tour_Special,0.0,0
Tokyo 24-ku: Reversal Film,https://myanimelist.net/anime/51296/Tokyo_24-ku__Reversal_Film,0.0,0
Tsunotsuno Taisou,https://myanimelist.net/anime/54928/Tsunotsuno_Taisou,0.0,0
Utsunomiko,https://myanimelist.net/anime/5921/Utsunomiko,0.0,0
Urahara,https://myanimelist.net/anime/35250/Urahara,43.67577843156569,17
Wata no Kuni Hoshi Pilot,https://myanimelist.net/anime/37387/Wata_no_Kuni_Hoshi_Pilot,0.0,0
Yukidoke wo Kiite,https://myanimelist.net/anime/50064/Yukidoke_wo_Kiite,0.0,0
Zettai Yareru Greece Shinwa,https://myanimelist.net/anime/5234/Zettai_Yareru_Greece_Shinwa,0.0,0
Alexander Senki Movie,https://myanimelist.net/anime/5157/Alexander_Senki_Movie,0.0,0
ARP Backstage Pass: Paradise,https://myanimelist.net/anime/41568/ARP_Backstage_Pass__Paradise,0.0,0
Chogokin Hello Kitty,https://myanimelist.net/anime/51432/Chogokin_Hello_Kitty,0.0,0
Devilman Memorial,https://myanimelist.net/anime/35952/Devilman_Memorial,0.0,0
Digimon Ghost Game Recap,https://myanimelist.net/anime/51780/Digimon_Ghost_Game_Recap,0.0,0
Dr. Slump: Hoyoyo! Arale no Himitsu Dai Koukai da yo!!,https://myanimelist.net/anime/30450/Dr_Slump__Hoyoyo_Arale_no_Himitsu_Dai_Koukai_da_yo,0.0,0
Fudanshi Shoukan: Isekai de Shinjuu ni Hameraremashita 5th Season,https://myanimelist.net/anime/55279/Fudanshi_Shoukan__Isekai_de_Shinjuu_ni_Hameraremashita_5th_Season,0.0,0
Dragon Ball Z Movie 11: Super Senshi Gekiha!! Katsu no wa Ore da,https://myanimelist.net/anime/904/Dragon_Ball_Z_Movie_11__Super_Senshi_Gekiha_Katsu_no_wa_Ore_da,29.22519231217455,16
Gegege no Kitarou: Kitarou no Yuurei Densha,https://myanimelist.net/anime/8493/Gegege_no_Kitarou__Kitarou_no_Yuurei_Densha,0.0,0
Futarigurashi,https://myanimelist.net/anime/8765/Futarigurashi,7.409023048394402,1
Himitsukessha Taka no Tsume EX,https://myanimelist.net/anime/22821/Himitsukessha_Taka_no_Tsume_EX,0.0,0
11-gatsu Umare no Otokonoko no Tame ni.,https://myanimelist.net/anime/48313/11-gatsu_Umare_no_Otokonoko_no_Tame_ni,0.0,0
23-ji no Saga Meshi Anime,https://myanimelist.net/anime/47426/23-ji_no_Saga_Meshi_Anime,44.19287081848733,3
47 Todoufuken Specials,https://myanimelist.net/anime/29835/47_Todoufuken_Specials,0.0,0
Aesop's World,https://myanimelist.net/anime/4709/Aesops_World,0.0,0
Ahiru no Pekkle no Sindbad no Bouken,https://myanimelist.net/anime/22603/Ahiru_no_Pekkle_no_Sindbad_no_Bouken,0.0,0
Anime Rakugo Kan,https://myanimelist.net/anime/8723/Anime_Rakugo_Kan,0.0,0
Backstage Idol Story,https://myanimelist.net/anime/15787/Backstage_Idol_Story,0.0,0
Bihada Ichizoku,https://myanimelist.net/anime/4908/Bihada_Ichizoku,47.760099067883175,1
Blue Reflection Ray Special,https://myanimelist.net/anime/49348/Blue_Reflection_Ray_Special,0.0,0
Chi-Sui Maru,https://myanimelist.net/anime/8025/Chi-Sui_Maru,0.0,0
Dai Yamato Zero-gou,https://myanimelist.net/anime/7122/Dai_Yamato_Zero-gou,0.0,0
Dororo Pilot,https://myanimelist.net/anime/11471/Dororo_Pilot,48.41413260163932,1
Duel Masters!,https://myanimelist.net/anime/37484/Duel_Masters,54.61855148827832,1
Hello Kitty no Hakuchou no Ouji,https://myanimelist.net/anime/18085/Hello_Kitty_no_Hakuchou_no_Ouji,0.0,0
Hello Kitty no Suteki na Kyoudai,https://myanimelist.net/anime/18029/Hello_Kitty_no_Suteki_na_Kyoudai,0.0,0
Kaiko sareta Ankoku Heishi (30-dai) no Slow na Second Life Mini Anime Episode 0,https://myanimelist.net/anime/55004/Kaiko_sareta_Ankoku_Heishi_30-dai_no_Slow_na_Second_Life_Mini_Anime_Episode_0,0.0,0
Honto ni Atta Gakkou Kaidan,https://myanimelist.net/anime/28263/Honto_ni_Atta_Gakkou_Kaidan,26.85385950030617,1
Kidou Senshi SD Gundam Mk-III,https://myanimelist.net/anime/2305/Kidou_Senshi_SD_Gundam_Mk-III,0.0,0
Kandagawa Jet Girls,https://myanimelist.net/anime/40196/Kandagawa_Jet_Girls,54.33001436252238,16
Korokoro Kuririn no Inaka no Nezumi Tokai no Nezumi,https://myanimelist.net/anime/18081/Korokoro_Kuririn_no_Inaka_no_Nezumi_Tokai_no_Nezumi,0.0,0
Opus.COLORs,https://myanimelist.net/anime/51415/OpusCOLORs,40.12110208999057,10
Peter Pan no Bouken Specials,https://myanimelist.net/anime/23739/Peter_Pan_no_Bouken_Specials,0.0,0
Qui Shui Yi Yun,https://myanimelist.net/anime/33761/Qui_Shui_Yi_Yun,0.0,0
Prism Season,https://myanimelist.net/anime/34868/Prism_Season,96.71650296925148,1
"Sagashita no wa Oheya, Mitsuketa no wa Mirai",https://myanimelist.net/anime/23621/Sagashita_no_wa_Oheya_Mitsuketa_no_wa_Mirai,0.0,0
Sekishoku Elegy,https://myanimelist.net/anime/6268/Sekishoku_Elegy,0.0,0
Shadowverse,https://myanimelist.net/anime/40506/Shadowverse,38.919688709445566,10
Kerokero Keroppi no Yowamushi-ouji no Daibouken,https://myanimelist.net/anime/22613/Kerokero_Keroppi_no_Yowamushi-ouji_no_Daibouken,0.0,0
Licca-chan to Yamaneko Hoshi no Tabi,https://myanimelist.net/anime/9878/Licca-chan_to_Yamaneko_Hoshi_no_Tabi,0.0,0
Koi Koi 7,https://myanimelist.net/anime/668/Koi_Koi_7,36.13975321891033,7
Liu Xing Huan Jian,https://myanimelist.net/anime/46639/Liu_Xing_Huan_Jian,42.55301052120337,1
Machi Ichiban no Kechinbou,https://myanimelist.net/anime/19971/Machi_Ichiban_no_Kechinbou,23.240265205179924,1
Metamon to! Purin no Stage,https://myanimelist.net/anime/51424/Metamon_to_Purin_no_Stage,0.0,0
Marie & Gali Episode Zero,https://myanimelist.net/anime/6355/Marie___Gali_Episode_Zero,12.624637459238077,1
Nanjyamo no Aibou wa Nanimono nanja!? (Donna Monja TV),https://myanimelist.net/anime/53327/Nanjyamo_no_Aibou_wa_Nanimono_nanja_Donna_Monja_TV,0.0,0
Monster High: Kowa-ike Girls,https://myanimelist.net/anime/28381/Monster_High__Kowa-ike_Girls,40.39853083813609,4
Ninjala,https://myanimelist.net/anime/42658/Ninjala,0.0,0
Ninja Mono,https://myanimelist.net/anime/1440/Ninja_Mono,50.303812524729366,4
Noobow: Na Kokoro,https://myanimelist.net/anime/18577/Noobow__Na_Kokoro,0.0,0
Peach Boy Riverside Mini Anime,https://myanimelist.net/anime/49214/Peach_Boy_Riverside_Mini_Anime,0.0,0
Platonic Chain: Ansatsu Jikkouchuu,https://myanimelist.net/anime/34476/Platonic_Chain__Ansatsu_Jikkouchuu,0.0,0
Santa Company,https://myanimelist.net/anime/16381/Santa_Company,68.78841149140251,4
Slime-tachi no Idobata Kaigi 2nd Season,https://myanimelist.net/anime/53955/Slime-tachi_no_Idobata_Kaigi_2nd_Season,0.0,0
Tetsujin 28-gou: Tanjou-hen,https://myanimelist.net/anime/27993/Tetsujin_28-gou__Tanjou-hen,0.0,0
Sword Gai The Animation,https://myanimelist.net/anime/27783/Sword_Gai_The_Animation,19.312260932357983,31
Transformers: Scramble City,https://myanimelist.net/anime/6800/Transformers__Scramble_City,44.664231163482,2
Ultraman M78 Gekijou: Love and Peace,https://myanimelist.net/anime/30122/Ultraman_M78_Gekijou__Love_and_Peace,0.0,0
Washimo,https://myanimelist.net/anime/22503/Washimo,0.0,0
Yokohama Meibutsu: Otoko Katayama-gumi!,https://myanimelist.net/anime/10113/Yokohama_Meibutsu__Otoko_Katayama-gumi,0.0,0
Angelique: Shiroi Tsubasa no Memoire,https://myanimelist.net/anime/2536/Angelique__Shiroi_Tsubasa_no_Memoire,0.0,0
Anima Yell! Ouen Douga,https://myanimelist.net/anime/38803/Anima_Yell_Ouen_Douga,0.0,0
Aquarian Age: Saga II - Don't Forget Me...,https://myanimelist.net/anime/1268/Aquarian_Age__Saga_II_-_Dont_Forget_Me,0.0,0
Bad Badtz-Maru no Ore no Pochi wa Sekaiichi,https://myanimelist.net/anime/17479/Bad_Badtz-Maru_no_Ore_no_Pochi_wa_Sekaiichi,0.0,0
Bobunemimimmi Specials,https://myanimelist.net/anime/38291/Bobunemimimmi_Specials,0.0,0
Bokura Mangaka: Tokiwasou Monogatari,https://myanimelist.net/anime/20109/Bokura_Mangaka__Tokiwasou_Monogatari,0.0,0
"Boku no Imouto wa ""Osaka Okan""",https://myanimelist.net/anime/16405/Boku_no_Imouto_wa_Osaka_Okan,45.20341179842722,10
Fudanshi Shoukan: Isekai de Shinjuu ni Hameraremashita 3rd Season,https://myanimelist.net/anime/52355/Fudanshi_Shoukan__Isekai_de_Shinjuu_ni_Hameraremashita_3rd_Season,0.0,0
Gasshin Sentai Mechander Robo,https://myanimelist.net/anime/3294/Gasshin_Sentai_Mechander_Robo,0.0,0
Genki!! Ekoda-chan,https://myanimelist.net/anime/10540/Genki_Ekoda-chan,0.0,0
Hello Kitty no Shiawase no Aoi Hotaru,https://myanimelist.net/anime/18829/Hello_Kitty_no_Shiawase_no_Aoi_Hotaru,0.0,0
Grim,https://myanimelist.net/anime/31263/Grim,49.28708796024694,2
Heroine Tarumono! Kiraware Heroine to Naisho no Oshigoto Mini Anime,https://myanimelist.net/anime/51439/Heroine_Tarumono_Kiraware_Heroine_to_Naisho_no_Oshigoto_Mini_Anime,0.0,0
Hisone to Maso-tan Digest Douga,https://myanimelist.net/anime/39448/Hisone_to_Maso-tan_Digest_Douga,0.0,0
Hokkyoku no Muushika Miishika,https://myanimelist.net/anime/7729/Hokkyoku_no_Muushika_Miishika,0.0,0
Irodorimidori,https://myanimelist.net/anime/50267/Irodorimidori,22.744642157717525,2
Jiok,https://myanimelist.net/anime/33144/Jiok,20.61343302558448,1
A-jang.com,https://myanimelist.net/anime/9433/A-jangcom,0.0,0
Akai Koudan Zillion: Utahime Yakyoku,https://myanimelist.net/anime/2689/Akai_Koudan_Zillion__Utahime_Yakyoku,24.462808572574332,3
Akane Maniax,https://myanimelist.net/anime/281/Akane_Maniax,48.14874005357896,13
Atasha Kawashiri Kodama da yo: Dangerous Lifehacker no Tadareta Seikatsu,https://myanimelist.net/anime/49780/Atasha_Kawashiri_Kodama_da_yo__Dangerous_Lifehacker_no_Tadareta_Seikatsu,39.12542288376754,11
Battle Spirits: Double Drive,https://myanimelist.net/anime/32670/Battle_Spirits__Double_Drive,0.0,0
Bounty Hunter: The Hard,https://myanimelist.net/anime/4522/Bounty_Hunter__The_Hard,72.53391201121923,3
Calm,https://myanimelist.net/anime/29772/Calm,46.58300181475572,2
Devilman Pilot Film,https://myanimelist.net/anime/55324/Devilman_Pilot_Film,0.0,0
Condom Battler Gorou: Revive,https://myanimelist.net/anime/50503/Condom_Battler_Gorou__Revive,84.72866738510905,1
Duel Masters Victory,https://myanimelist.net/anime/10524/Duel_Masters_Victory,0.0,0
Fireball Humorous,https://myanimelist.net/anime/36166/Fireball_Humorous,0.0,0
Fudanshi Shoukan: Isekai de Shinjuu ni Hameraremashita,https://myanimelist.net/anime/42855/Fudanshi_Shoukan__Isekai_de_Shinjuu_ni_Hameraremashita,0.0,0
G-9,https://myanimelist.net/anime/5785/G-9,37.2685036252898,1
Gekkou no Pierce: Yumemi to Gin no Bara no Kishidan,https://myanimelist.net/anime/3813/Gekkou_no_Pierce__Yumemi_to_Gin_no_Bara_no_Kishidan,0.0,0
Guiying Yu Li Shi Zhentan Shiwusuo,https://myanimelist.net/anime/55362/Guiying_Yu_Li_Shi_Zhentan_Shiwusuo,0.0,0
Hangyodon no Hadaka no Ousama,https://myanimelist.net/anime/22563/Hangyodon_no_Hadaka_no_Ousama,0.0,0
Hello Kitty no Yuubinya-san Arigatou,https://myanimelist.net/anime/18033/Hello_Kitty_no_Yuubinya-san_Arigatou,0.0,0
Karen Senki,https://myanimelist.net/anime/27503/Karen_Senki,51.47398153353261,7
Katarina Nounai Kaigi X,https://myanimelist.net/anime/49501/Katarina_Nounai_Kaigi_X,0.0,0
Kawasaki Frontale x Tentai Senshi Sunred 2nd Season,https://myanimelist.net/anime/8196/Kawasaki_Frontale_x_Tentai_Senshi_Sunred_2nd_Season,0.0,0
Kikou Heidan J-Phoenix: PF Lips Shoutai,https://myanimelist.net/anime/8883/Kikou_Heidan_J-Phoenix__PF_Lips_Shoutai,0.0,0
Kentauros no Densetsu,https://myanimelist.net/anime/17339/Kentauros_no_Densetsu,36.44637738085419,1
Koisuru Tenshi Angelique: Chibi Character Adventure 2,https://myanimelist.net/anime/8180/Koisuru_Tenshi_Angelique__Chibi_Character_Adventure_2,0.0,0
Koume-chan ga Iku!,https://myanimelist.net/anime/6571/Koume-chan_ga_Iku,0.0,0
Mahou Shoujo Taisen,https://myanimelist.net/anime/21421/Mahou_Shoujo_Taisen,64.15960168215932,2
Obake Zukan,https://myanimelist.net/anime/41383/Obake_Zukan,66.28546408509892,1
Ogaki Matsuri ni Ikou yo!,https://myanimelist.net/anime/41545/Ogaki_Matsuri_ni_Ikou_yo,0.0,0
Oz no Mahoutsukai,https://myanimelist.net/anime/7876/Oz_no_Mahoutsukai,0.0,0
Peeping Life: The Perfect Extension,https://myanimelist.net/anime/16377/Peeping_Life__The_Perfect_Extension,0.0,0
Rang Wo Men Shao Ba,https://myanimelist.net/anime/37736/Rang_Wo_Men_Shao_Ba,43.73301974573691,4
Shounen Ashibe: Go! Go! Goma-chan 3,https://myanimelist.net/anime/37368/Shounen_Ashibe__Go_Go_Goma-chan_3,0.0,0
Tadaima! Chibi Godzilla Season 2,https://myanimelist.net/anime/45611/Tadaima_Chibi_Godzilla_Season_2,30.7813857216138,1
Taboo Tattoo,https://myanimelist.net/anime/29758/Taboo_Tattoo,30.142739007377187,51
Xiong Chumo: Huanqiu Da Maoxian,https://myanimelist.net/anime/32818/Xiong_Chumo__Huanqiu_Da_Maoxian,0.0,0
Youkai Watch: Best 10,https://myanimelist.net/anime/28925/Youkai_Watch__Best_10,0.0,0
Zenmai Zamurai,https://myanimelist.net/anime/5821/Zenmai_Zamurai,0.0,0
Shiroi Suna no Aquatope Mini,https://myanimelist.net/anime/49410/Shiroi_Suna_no_Aquatope_Mini,0.0,0
Shiroi Zou (1981),https://myanimelist.net/anime/30070/Shiroi_Zou_1981,0.0,0
Sono Kinisasete yo: My My Mai,https://myanimelist.net/anime/3095/Sono_Kinisasete_yo__My_My_Mai,50.38554246908395,3
Stitch to Suna no Wakusei,https://myanimelist.net/anime/25891/Stitch_to_Suna_no_Wakusei,0.0,0
Sweet Valerian Specials,https://myanimelist.net/anime/3863/Sweet_Valerian_Specials,0.0,0
