Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Demographics
Medamayaki no Kimi Itsu Tsubusu?,,5.92,12935,9862,1,TV Special,4,Finished Airing,"Aug 5, 2014 to Aug 8, 2014",,,NHK,"None found, add some",Fanworks,Manga,"Comedy, Gourmet",18 min. per ep.,G - All Ages,1,,Seinen
Nippon-ichi no Otoko no Tamashii 2,,5.92,13951,9863,906,TV,16,Finished Airing,"May 4, 1999 to May 28, 1999",Spring 1999,Unknown,"None found, add some","None found, add some",Studio Deen,Unknown,"Comedy, Romance",6 min. per ep.,R+ - Mild Nudity,0,,
Nyuuin Bokki Monogatari: Odaijini!,,5.92,14658,9864,735,OVA,2,Finished Airing,"Dec 5, 1991 to Dec 25, 1991",,,Tokyo Kids,"None found, add some","None found, add some",Unknown,"Comedy, Ecchi",44 min. per ep.,R+ - Mild Nudity,1,,Seinen
Obake no... Holly,,5.92,14011,9865,889,TV,200,Finished Airing,"Jan 28, 1991 to Apr 12, 1993",Winter 1991,Unknown,"NHK,       Studio Junio","None found, add some","None found, add some",Unknown,"Comedy, Fantasy",10 min. per ep.,G - All Ages,1,,Kids
Protector,,5.92,16357,9866,483,ONA,1,Finished Airing,"Nov 18, 2022",,,"None found, add some","None found, add some",Enishiya,Game,Action,45 sec.,PG-13 - Teens 13 or older,0,Music,
Saint Luminous Jogakuin,St. Luminous Mission High School,5.92,9567,9867,3,TV,13,Finished Airing,"Oct 6, 1998 to Dec 30, 1998",Fall 1998,Tuesdays at 01:15 (JST),"Genco,       Pioneer LDC","None found, add some",Triangle Staff,Original,"Mystery, Supernatural",24 min. per ep.,PG-13 - Teens 13 or older,6,Psychological,
Sakura Kakumei: Hanasaku Otome-tachi,,5.92,12195,9868,1,ONA,1,Finished Airing,"Sep 2, 2020",,,"Half H.P Studio,       Imagine","None found, add some",CloverWorks,Game,Action,23 min.,PG-13 - Teens 13 or older,0,Mecha,
Shabake,,5.92,15579,9869,574,ONA,1,Finished Airing,"Jul 19, 2021",,,"None found, add some","None found, add some",Shuka,Novel,Fantasy,3 min.,None,0,Historical,
Shenmue: The Movie,,5.92,10497,9870,2,Movie,1,Finished Airing,"Sep 8, 2001",,,"None found, add some","None found, add some","None found, add some",Game,"Action, Adventure",1 hr. 31 min.,PG-13 - Teens 13 or older,8,"Martial Arts, Strategy Game",
Shin Shounan Bakusouzoku Arakure Knight,,5.92,14073,9871,876,OVA,2,Finished Airing,"Sep 12, 1997 to Sep 11, 1998",,,"None found, add some","None found, add some","None found, add some",Manga,Adventure,41 min. per ep.,R+ - Mild Nudity,1,Delinquents,
Shining Hearts: Shiawase no Pan - Kokoro ga Todoita Picture Drama,Shining Hearts: Bread of Happiness Picture Drama,5.92,10804,9872,2,Special,6,Finished Airing,"Jul 27, 2012 to Dec 21, 2012",,,"None found, add some",Sentai Filmworks,Production I.G,Game,Fantasy,4 min. per ep.,PG-13 - Teens 13 or older,1,Isekai,
Sore Ike! Anpanman: Tobe! Tobe! Chibigon,,5.92,16298,9873,489,Movie,1,Finished Airing,"Jul 20, 1991",,,"None found, add some","None found, add some",TMS Entertainment,Unknown,"Comedy, Fantasy",40 min.,PG - Children,0,,Kids
Suki desu Suzuki-kun!!,,5.92,8267,9874,5,OVA,2,Finished Airing,"Dec 18, 2009 to Jul 26, 2010",,,"None found, add some","None found, add some","None found, add some",Manga,Romance,15 min. per ep.,PG-13 - Teens 13 or older,9,,
Taiko no Tatsujin,Taiko Drum Master,5.92,12884,9875,1,TV,26,Finished Airing,"Apr 4, 2005 to May 15, 2006",Spring 2005,Unknown,Nikkatsu,"None found, add some",Studio Bingo,Game,,4 min. per ep.,G - All Ages,9,Video Game,
"Tearmoon Teikoku Monogatari: Dantoudai kara Hajimaru, Hime no Tensei Gyakuten Story Mini Anime",,5.92,14785,9876,701,ONA,12,Finished Airing,"Oct 13, 2023 to Dec 29, 2023",,,"None found, add some","None found, add some",AQUA ARIS,Light novel,"Comedy, Fantasy",3 min. per ep.,PG-13 - Teens 13 or older,0,,
Touken Ranbu: Hanamaru - Makuai Kaisouroku Manner Movies,,5.92,12024,9877,1,Movie,2,Finished Airing,"Dec 1, 2017 to Dec 8, 2017",,,"None found, add some","None found, add some","None found, add some",Game,Comedy,3 min. per ep.,G - All Ages,2,Parody,
Wind: A Breath of Heart (TV),,5.92,5985,9878,12,TV,13,Finished Airing,"Jun 30, 2004 to Sep 22, 2004",Summer 2004,Unknown,"Frontier Works,       Rondo Robe","None found, add some",Radix,Visual novel,"Drama, Romance, Supernatural",12 min. per ep.,PG-13 - Teens 13 or older,10,School,
Youkoso Japari Park,Welcome to Japari Park,5.92,8914,9879,4,ONA,36,Finished Airing,"Aug 10, 2018 to Sep 30, 2020",,,"None found, add some","None found, add some","None found, add some",Game,"Adventure, Comedy, Fantasy",6 min. per ep.,PG - Children,4,,
Africa no Salaryman,African Office Worker,5.92,11078,9880,2,ONA,10,Finished Airing,"Jun 5, 2017 to Jun 30, 2017",,,"Production I.G,       Anime Beans","None found, add some","None found, add some",Web manga,Comedy,2 min. per ep.,PG-13 - Teens 13 or older,2,Workplace,
Anime Yasei no Sakebi,Call of the wild,5.92,15150,9881,636,TV,22,Finished Airing,"May 5, 1982 to Sep 25, 1982",Spring 1982,Unknown,Wako Productions,"None found, add some","None found, add some",Unknown,"Adventure, Drama",40 min. per ep.,PG - Children,1,,
Araiguma Rascal Specials,,5.92,15801,9882,543,TV Special,2,Finished Airing,"Dec 10, 2000 to Dec 17, 2000",,,Bandai Visual,"None found, add some",Nippon Animation,Unknown,"Drama, Slice of Life",45 min. per ep.,G - All Ages,0,Pets,
Brothers Conflict,,5.92,1303,9883,185,TV,12,Finished Airing,"Jul 2, 2013 to Sep 17, 2013",Summer 2013,Unknown,"Kadokawa Shoten,       Movic,       DAX Production,       Showgate,       NBCUniversal Entertainment Japan",Funimation,Brain's Base,Novel,Romance,24 min. per ep.,PG-13 - Teens 13 or older,745,Reverse Harem,
Code Geass: Hangyaku no Lelouch Picture Drama - Kamen Kokuhaku Taikai,Code Geass: Lelouch of the Rebellion Picture Drama - Masked Declaration Contest,5.92,9294,9884,3,Special,1,Finished Airing,"Oct 21, 2017",,,"None found, add some","None found, add some","None found, add some",Original,Comedy,10 min.,PG-13 - Teens 13 or older,1,School,
Cogimyun,,5.92,16293,9885,489,ONA,24,Finished Airing,"Jul 30, 2017 to Jan 7, 2018",,,Sanrio,"None found, add some","None found, add some",Other,Fantasy,40 sec. per ep.,G - All Ages,0,,Kids
Colorful,,5.92,4253,9886,27,TV,16,Finished Airing,"Sep 6, 1999 to Sep 30, 1999",Summer 1999,Not scheduled once per week,"TBS,       Studio Wombat","ADV Films,       Sentai Filmworks",Triangle Staff,Manga,"Comedy, Ecchi",6 min. per ep.,R+ - Mild Nudity,64,Gag Humor,Seinen
Dokyuu Hentai HxEros: HxEros Report,,5.92,7163,9887,7,TV Special,1,Finished Airing,"Aug 21, 2020",,,Studio Mausu,"None found, add some",Project No.9,Manga,"Action, Comedy, Fantasy, Romance, Sci-Fi, Ecchi",23 min.,R+ - Mild Nudity,11,"Harem, School, Super Power",Shounen
Don Chuck Monogatari,Don Chuck Stories,5.92,12085,9888,1,TV,26,Finished Airing,"Apr 5, 1975 to Sep 27, 1975",Spring 1975,Unknown,"None found, add some","None found, add some",Knack Productions,Original,"Adventure, Slice of Life",25 min. per ep.,G - All Ages,4,,Kids
Dreamland,,5.92,17548,9889,383,Movie,1,Finished Airing,"Jan 1, 2018",,,"None found, add some","None found, add some",Mirai Film,Original,Avant Garde,5 min.,G - All Ages,0,Music,
Duel Masters Zero,,5.92,11288,9890,2,TV,24,Finished Airing,"Oct 6, 2007 to Mar 22, 2008",Fall 2007,Unknown,"None found, add some","None found, add some",Shogakukan Music & Digital Entertainment,Original,Action,10 min. per ep.,G - All Ages,1,Strategy Game,Kids
Early Reins,,5.92,9208,9891,4,OVA,1,Finished Airing,"Feb 14, 2003",,,TOHO,Media Blasters,OLM,Original,"Action, Adventure",44 min.,R - 17+ (violence & profanity),4,,
Elite Jack!!,,5.92,13404,9892,1,OVA,6,Finished Airing,"Aug 2, 2014 to Dec 28, 2015",,,Shogakukan-Shueisha Productions,"None found, add some","None found, add some",Manga,,13 min. per ep.,G - All Ages,3,School,Shoujo
Elsword: El-ui Yeoin,,5.92,4556,9893,23,ONA,12,Finished Airing,"Dec 10, 2016 to Jan 5, 2018",,,"None found, add some","None found, add some",DR Movie,Game,"Action, Fantasy",13 min. per ep.,PG-13 - Teens 13 or older,79,,
Girlfriend (Kari),Girl Friend Beta,5.92,3379,9894,43,TV,12,Finished Airing,"Oct 13, 2014 to Dec 29, 2014",Fall 2014,Mondays at 01:35 (JST),"TV Tokyo,       VAP,       Age Global Networks","None found, add some",SILVER LINK.,Game,Slice of Life,24 min. per ep.,PG-13 - Teens 13 or older,67,School,
Harbor Tale,Harbor Tale: A Red Brick,5.92,16102,9895,512,Movie,1,Finished Airing,"Dec 17, 2011",,,"None found, add some","None found, add some",I.Toon,Original,"Adventure, Fantasy",18 min.,G - All Ages,0,,
Heisei Policemen!!,,5.92,16583,9896,460,ONA,6,Finished Airing,"Apr 11, 2013 to May 23, 2013",,,"None found, add some","None found, add some","None found, add some",Manga,Comedy,5 min. per ep.,PG-13 - Teens 13 or older,1,Detective,
Hello Kitty no Fushigi na Mizuumi,,5.92,16689,9897,450,OVA,1,Finished Airing,1991,,,Sanrio,"None found, add some","None found, add some",Unknown,Fantasy,22 min.,G - All Ages,1,,Kids
Hello Kitty no Oyayubi-hime,,5.92,15484,9898,586,Movie,1,Finished Airing,"Jul 21, 1990",,,Sanrio,"None found, add some","None found, add some",Novel,"Adventure, Fantasy",45 min.,G - All Ages,0,,Kids
Huan You Lieren,,5.92,12413,9900,1,ONA,12,Finished Airing,"Dec 25, 2021 to Mar 5, 2022",,,"Tencent Penguin Pictures,       Colored Pencil Animation Japan,       Yuewen Animation & Comics","None found, add some",Colored Pencil Animation,Novel,"Adventure, Sci-Fi",20 min. per ep.,PG-13 - Teens 13 or older,6,,
Hoshi no Kirby:  Taose!! Koukaku Majuu Ebizou,,5.92,11293,9899,2,ONA,1,Finished Airing,"Aug 9, 2009",,,Nintendo,"None found, add some","None found, add some",Game,"Action, Adventure, Comedy, Fantasy",8 min.,PG - Children,6,,
Super Milk-chan,,5.90,8457,9950,5,TV,14,Finished Airing,"Jun 18, 1998 to Sep 17, 1998",Summer 1998,Not scheduled once per week,Genco,ADV Films,Tokyo Kids,Unknown,"Action, Comedy, Sci-Fi",8 min. per ep.,R+ - Mild Nudity,20,Parody,
Tenshi na Konamaiki Specials,Cheeky Angel DVD Specials,5.90,12708,9951,1,Special,13,Finished Airing,"Aug 21, 2002 to Aug 21, 2003",,,"None found, add some","None found, add some",TMS Entertainment,Manga,,33 sec. per ep.,G - All Ages,4,,Shounen
The Supergal,Maris the Chojo,5.90,8429,9952,5,OVA,1,Finished Airing,"Jun 5, 1986",,,"Shogakukan-Shueisha Productions,       OB Planning","None found, add some",Pierrot,Manga,"Comedy, Sci-Fi",48 min.,R+ - Mild Nudity,5,Super Power,
UFO Senshi Dai Apolon,,5.90,12077,9953,1,TV,26,Finished Airing,"Apr 6, 1976 to Sep 28, 1976",Spring 1976,Tuesdays at 19:00 (JST),TBS,"None found, add some","Eiken,       Studio Live",Original,"Action, Sci-Fi",24 min. per ep.,PG-13 - Teens 13 or older,3,Mecha,
Val x Love,,5.90,2105,9954,98,TV,12,Finished Airing,"Oct 5, 2019 to Dec 21, 2019",Fall 2019,Saturdays at 23:00 (JST),"Square Enix,       Sotsu,       AT-X,       Tokyo MX,       Avex Pictures,       Docomo Anime Store,       BS11,       GYAO!,       A-Sketch,       MAGNET,       entama",Sentai Filmworks,Hoods Entertainment,Manga,"Comedy, Fantasy, Romance, Ecchi",23 min. per ep.,R - 17+ (violence & profanity),169,"Harem, School",Shounen
Vicky the Victim,,5.90,19962,9955,230,Movie,1,Finished Airing,"Mar 4, 2012",,,"None found, add some","None found, add some","None found, add some",Original,Comedy,3 min.,R - 17+ (violence & profanity),0,Gore,
Yoroiden Samurai Troopers Message,Ronin Warriors Message,5.90,10243,9956,2,OVA,5,Finished Airing,"Mar 21, 1991 to Aug 23, 1991",,,"None found, add some","Bandai Entertainment,       Discotek Media",Sunrise,Original,"Adventure, Fantasy",26 min. per ep.,PG-13 - Teens 13 or older,5,Samurai,
Zou no Inai Doubutsuen,,5.90,16597,9957,459,Movie,1,Finished Airing,"Mar 20, 1982",,,"None found, add some","None found, add some",Group TAC,Other,Drama,1 hr. 18 min.,PG - Children,1,Historical,
#Compass,,5.90,15690,9958,556,ONA,10,Finished Airing,"Aug 10, 2018 to Sep 13, 2019",,,"None found, add some","None found, add some","TMS Entertainment,       Echoes",Game,,4 min. per ep.,G - All Ages,1,Strategy Game,
Akai Koudan Zillion Recaps,Zillion Specials,5.90,14117,9959,867,Special,3,Finished Airing,"Jul 21, 1987 to Aug 21, 1988",,,"Yomiko Advertising,       Nippon Television Network","None found, add some",Tatsunoko Production,Mixed media,"Action, Adventure, Sci-Fi",42 min. per ep.,PG-13 - Teens 13 or older,0,,
Akane-chan,Little Miss Akane,5.90,14237,9960,835,TV,26,Finished Airing,"Apr 6, 1968 to Sep 29, 1968",Spring 1968,Unknown,Fuji TV,"None found, add some",Toei Animation,Unknown,"Comedy, Slice of Life",26 min. per ep.,PG-13 - Teens 13 or older,0,School,Shoujo
Akuma Tou no Prince: Mitsume ga Tooru,,5.90,12986,9961,1,TV Special,1,Finished Airing,"Aug 25, 1985",,,"None found, add some","None found, add some",Toei Animation,Unknown,"Adventure, Comedy, Supernatural",1 hr. 19 min.,PG-13 - Teens 13 or older,1,Mythology,Shounen
Asobou! Hello Kitty,,5.90,11997,9962,1,TV,26,Finished Airing,"Apr 6, 1994 to Sep 28, 1994",Spring 1994,Unknown,Sanrio,ADV Films,"None found, add some",Unknown,"Adventure, Fantasy",25 min. per ep.,G - All Ages,6,,Kids
Backkom,Bernard,5.90,11154,9963,2,TV,52,Finished Airing,2005,?,Unknown,"None found, add some","None found, add some",RG Animation Studios,Original,Comedy,3 min. per ep.,G - All Ages,5,,Kids
Buddha Saitan,The Rebirth of Buddha,5.90,7389,9965,7,Movie,1,Finished Airing,"Oct 17, 2009",,,"None found, add some","None found, add some",Group TAC,Book,"Romance, Supernatural",1 hr. 54 min.,PG-13 - Teens 13 or older,9,Psychological,
Barbapapa Sekai wo Mawaru,Barbapapa Around the World,5.90,12564,9964,1,TV,50,Finished Airing,"Jul 5, 1999 to Oct 8, 1999",Summer 1999,Fridays at 16:50 (JST),Kodansha,"None found, add some",Pierrot,Picture book,"Adventure, Comedy",5 min. per ep.,G - All Ages,3,,
Carino Coni,,5.90,16044,9966,517,TV,26,Finished Airing,"Apr 2, 2014 to Oct 1, 2014",Spring 2014,Unknown,"None found, add some","None found, add some",Robot Communications,Novel,Fantasy,3 min. per ep.,PG - Children,0,,Kids
Children,,5.90,9839,9967,3,ONA,1,Finished Airing,"Jun 30, 2011",,,"None found, add some","None found, add some","None found, add some",Original,"Avant Garde, Drama",4 min.,PG-13 - Teens 13 or older,7,Psychological,
Colorful Ninja Iromaki,,5.90,12105,9969,1,Movie,1,Finished Airing,"Mar 19, 2016",,,Exa International,"None found, add some",Signal.MD,Original,Fantasy,24 min.,PG - Children,1,,
Chivas 1-2-3,Sorcerer on the Rocks,5.90,9043,9968,4,OVA,2,Finished Airing,"Aug 21, 1999 to Sep 21, 1999",,,Teichiku Entertainment,ADV Films,Daume,Manga,"Action, Comedy, Fantasy, Supernatural, Ecchi",27 min. per ep.,R+ - Mild Nudity,3,,
Comet Lucifer: Garden Indigo no Shasou kara,,5.90,8112,9970,5,ONA,12,Finished Airing,"Jan 29, 2016 to Jun 24, 2016",,,"None found, add some","None found, add some",I was a Ballerina,Original,"Adventure, Comedy, Fantasy",2 min. per ep.,G - All Ages,1,,
Dream,,5.90,14823,9971,692,ONA,1,Finished Airing,"Jan 24, 2020",,,"None found, add some","None found, add some",Toei Animation,Original,"Adventure, Fantasy",6 min.,G - All Ages,0,Music,Kids
Duel Masters Movie 3: Honoo no Kizuna XX,,5.90,13485,9972,1,Movie,1,Finished Airing,"Aug 21, 2010",,,"None found, add some","None found, add some","None found, add some",Original,Fantasy,22 min.,None,0,Strategy Game,Kids
Esper Mami: Hoshizora no Dancing Doll,,5.90,14470,9973,779,Movie,1,Finished Airing,"Mar 12, 1988",,,"None found, add some","None found, add some",Shin-Ei Animation,Unknown,Fantasy,41 min.,G - All Ages,0,,Shounen
Fairy Ranmaru: Anata no Kokoro Otasuke Shimasu,,5.90,4447,9974,25,TV,12,Finished Airing,"Apr 8, 2021 to Jun 24, 2021",Spring 2021,Thursdays at 23:00 (JST),Pony Canyon,"None found, add some",Studio Comet,Original,"Action, Fantasy, Slice of Life",23 min. per ep.,PG-13 - Teens 13 or older,154,,
Gall Force: The Revolution,,5.90,10721,9975,2,OVA,4,Finished Airing,"Oct 2, 1996 to Mar 21, 1997",,,Movic,"None found, add some",AIC,Original,"Action, Adventure, Sci-Fi",30 min. per ep.,R+ - Mild Nudity,2,"Mecha, Military, Space",
Hengen Taima Yakou Karura Mau! Nara Onryou Emaki,Karura Mau Movie,5.90,10353,9978,2,Movie,1,Finished Airing,"Apr 8, 1989",,,Toshiba Entertainment,"None found, add some","None found, add some",Manga,"Action, Adventure, Fantasy, Horror, Supernatural",1 hr. 18 min.,R - 17+ (violence & profanity),3,Mythology,Shoujo
Ganbare! Kakure Ase Project,,5.90,13018,9976,1,ONA,1,Finished Airing,"May 17, 2019",,,"None found, add some","None found, add some",G-angle,Original,Slice of Life,2 min.,G - All Ages,0,"Music, School",
Gon,,5.90,10968,9977,2,TV,50,Finished Airing,"Apr 2, 2012 to Mar 25, 2013",Spring 2012,Mondays at 18:00 (JST),Kodansha,"None found, add some",Daewon Media,Manga,"Action, Adventure",23 min. per ep.,G - All Ages,8,Anthropomorphic,Kids
I''s,,5.90,6274,9979,10,OVA,2,Finished Airing,"Dec 9, 2002 to Mar 19, 2003",,,"None found, add some",VIZ Media,"Pierrot,       Arms",Manga,"Drama, Romance",29 min. per ep.,PG-13 - Teens 13 or older,7,,Shounen
Jantama Pong☆ Special,Mahjong Soul Pon☆ Special,5.90,12973,9980,1,Special,1,Finished Airing,"Oct 26, 2022",,,"None found, add some","None found, add some",Scooter Films,Game,Comedy,2 min.,PG-13 - Teens 13 or older,0,,
Kaibutsu-kun: Kaibutsu Land e no Shoutai,,5.90,16639,9981,455,Movie,1,Finished Airing,"Mar 14, 1981",,,"None found, add some","None found, add some",Shin-Ei Animation,Unknown,"Comedy, Horror",1 hr. 15 min.,G - All Ages,0,,"KidsKids,         ShounenShounen"
Kaitou Tenshi Twin Angel: Kyunkyun☆Tokimeki Paradise!! OVA,,5.90,11441,9982,1,OVA,2,Finished Airing,"Dec 28, 2014",,,Wave Master,"None found, add some",J.C.Staff,Game,Fantasy,25 min. per ep.,PG-13 - Teens 13 or older,1,Mahou Shoujo,
Kesshouban: Eigakan e Iku,,5.90,8545,9983,5,Movie,1,Finished Airing,"Sep 5, 2020",,,"None found, add some","None found, add some","None found, add some",Manga,Comedy,3 min.,PG-13 - Teens 13 or older,1,,
Koukaku no Pandora: Pandoradio,,5.90,11591,9984,1,Special,6,Finished Airing,"May 27, 2016 to Oct 28, 2016",,,"None found, add some","None found, add some",Studio Gokumi,Manga,"Comedy, Sci-Fi",2 min. per ep.,PG-13 - Teens 13 or older,3,,
Liver Specialist Saegumi,,5.90,19466,9986,256,ONA,1,Finished Airing,"Oct 14, 2022",,,"None found, add some","None found, add some","None found, add some",Other,"Comedy, Fantasy",5 min.,G - All Ages,0,,
"Maou-sama, ""Petit"" Retry!","Demon Lord, ""Petit"" Retry!",5.90,8698,9987,4,ONA,23,Finished Airing,"Jun 17, 2019 to Sep 28, 2019",,,On-Lead,"None found, add some",AQUA ARIS,Light novel,Comedy,41 sec. per ep.,PG-13 - Teens 13 or older,7,,
Metal Skin Panic MADOX-01,,5.90,6685,9988,9,OVA,1,Finished Airing,"Dec 15, 1987",,,"Pony Canyon,       Soeishinsha",AnimEigo,"AIC,       Artmic",Original,"Action, Sci-Fi",41 min.,PG-13 - Teens 13 or older,14,Mecha,
Minna to Manner wo Manabou,,5.90,14161,9989,856,Movie,2,Finished Airing,"Feb 9, 2016",,,"None found, add some","None found, add some",Shaft,Original,Comedy,2 min. per ep.,PG-13 - Teens 13 or older,0,,
Moeru! Oniisan (OVA),,5.90,14462,9990,782,OVA,2,Finished Airing,"Jul 1, 1989 to Aug 2, 1989",,,"None found, add some","None found, add some",Pierrot,Manga,Comedy,31 min. per ep.,PG-13 - Teens 13 or older,0,,Shounen
Monkey Magic,,5.90,13582,9991,1,TV,13,Finished Airing,"Sep 20, 1998 to Dec 13, 1998",Fall 1998,Unknown,"None found, add some","Bandai Entertainment,       Discotek Media",Group TAC,Novel,"Adventure, Fantasy",25 min. per ep.,PG - Children,4,,Kids
Nihon Mukashibanashi: Warashibe Chouja,,5.90,17818,9993,362,Movie,1,Finished Airing,1966,,,Gakken Eigakyoku,"None found, add some","None found, add some",Other,,16 min.,G - All Ages,0,,Kids
Natsu e no Tobira,,5.90,7566,9992,6,Movie,1,Finished Airing,"Mar 20, 1981",,,"None found, add some","None found, add some","Madhouse,       Toei Animation",Manga,"Boys Love, Drama",59 min.,PG-13 - Teens 13 or older,17,,Shoujo
Ninjala Episode 0,Ninjala Episode 0: Ninja-Gum is Born,5.90,14714,9994,717,ONA,1,Finished Airing,"Mar 30, 2020",,,"None found, add some","None found, add some",Marza Animation Planet,Game,Sci-Fi,9 min.,G - All Ages,0,"Martial Arts, Super Power",
Osomatsu-san Short Film Series 2nd Season,,5.90,10900,9995,2,Special,4,Finished Airing,"Jan 26, 2018 to Jul 27, 2018",,,Avex Pictures,"None found, add some","None found, add some",Manga,Comedy,5 min. per ep.,PG-13 - Teens 13 or older,4,"Gag Humor, Parody",
Petit☆Dream Stars! Let's La Cooking? Showtime!,,5.90,13877,9996,927,Movie,1,Finished Airing,"Oct 28, 2017",,,"None found, add some","None found, add some",Toei Animation,Original,"Fantasy, Slice of Life",5 min.,G - All Ages,0,,
Rhythmens Episode 0,,5.90,19494,9997,255,ONA,1,Finished Airing,"May 14, 2021",,,"None found, add some","None found, add some",VCRWORKS,Original,Slice of Life,1 min.,G - All Ages,0,,
Selector Infected WIXOSS: Midoriko-san to Piruruku-tan,,5.90,6558,9998,9,Special,3,Finished Airing,"Aug 27, 2014 to Dec 19, 2014",,,"None found, add some","None found, add some",J.C.Staff,Card game,Comedy,5 min. per ep.,PG-13 - Teens 13 or older,2,,
Senyoku no Sigrdrifa: Dai-909 Senjutsu Hime-tai Sentou Kiroku!,,5.90,10642,9999,2,TV Special,1,Finished Airing,"Nov 28, 2020",,,Aniplex,"None found, add some",A-1 Pictures,Original,Action,24 min.,PG-13 - Teens 13 or older,5,Military,
Shiguang Dailiren Special: Xiaoyao Sanren de Weituo,Link Click: Troubles of Ordinary People,5.90,7586,10000,6,ONA,1,Finished Airing,"Aug 27, 2021",,,"bilibili,       BeDream",Funimation,LAN Studio,Original,Comedy,16 min.,PG-13 - Teens 13 or older,5,"Super Power, Time Travel",
Ichirin-sha,,5.92,11482,9901,1,ONA,1,Finished Airing,"Sep 24, 2010",,,"None found, add some","None found, add some",Nomad,Original,"Action, Sci-Fi",7 min.,PG-13 - Teens 13 or older,0,Mecha,Seinen
Inou no AICis: ESP & High School Detective,AICis the Supernatural,5.92,11332,9902,2,ONA,15,Finished Airing,"Feb 13, 2021 to Jun 12, 2021",,,"None found, add some","None found, add some","None found, add some",Original,"Mystery, Supernatural",11 min. per ep.,PG-13 - Teens 13 or older,10,School,
Itazura Majo to Nemuranai Machi,Sorcery in the Big City,5.92,8673,9903,4,ONA,1,Finished Airing,"Dec 1, 2017",,,XFLAG,"None found, add some",SANZIGEN,Original,"Action, Fantasy",40 min.,G - All Ages,5,Detective,
Jashin-chan Mame Anime,,5.92,13930,9904,911,ONA,30,Finished Airing,"Oct 28, 2021 to Feb 4, 2023",,,"None found, add some","None found, add some",Nomad,Web manga,Comedy,1 min. per ep.,G - All Ages,4,,
