Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Premiered,Broadcast,Themes,Demographics
Wonderful Precure!,,7.30,8165,2711,5,TV,Unknown,Currently Airing,"Feb 4, 2024 to ?",ABC Animation,"None found, add some",Toei Animation,Original,"Action, Fantasy",23 min.,G - All Ages,39,Winter 2024,Sundays at 08:30 (JST),Mahou Shoujo,
Wu Geng Ji,,7.30,8107,2712,5,ONA,30,Finished Airing,"Jun 24, 2016 to Aug 24, 2017",Tencent Penguin Pictures,"None found, add some",Sparkly Key Animation Studio,Manga,"Action, Fantasy, Supernatural",15 min. per ep.,PG-13 - Teens 13 or older,30,,,"Historical, Martial Arts",
Yao Shen Ji,,7.30,5283,2713,16,ONA,40,Finished Airing,"May 9, 2017 to Sep 22, 2017","None found, add some","None found, add some",Ruo Hong Culture,Novel,"Action, Adventure, Fantasy, Romance",8 min. per ep.,PG-13 - Teens 13 or older,150,,,"Martial Arts, Mythology",
Artiswitch,,7.30,5178,2715,17,ONA,6,Finished Airing,"May 28, 2021 to Sep 10, 2021","None found, add some","None found, add some",Sunrise,Original,"Slice of Life, Supernatural",8 min. per ep.,PG-13 - Teens 13 or older,221,,,Music,
"Chi's Sweet Home: Chi to Kocchi, Deau.",,7.30,7323,2718,7,OVA,1,Finished Airing,"Apr 23, 2010","None found, add some","None found, add some",Madhouse,Manga,"Comedy, Slice of Life",13 min.,G - All Ages,7,,,Pets,Seinen
Zoku Touken Ranbu: Hanamaru,Touken Ranbu: Hanamaru 2,7.30,4064,2714,30,TV,12,Finished Airing,"Jan 8, 2018 to Mar 26, 2018","Marvelous Entertainment,       Nitroplus,       TOHO animation,       Good Smile Company,       DMM.com",Funimation,Doga Kobo,Game,"Action, Comedy, Fantasy",24 min. per ep.,PG-13 - Teens 13 or older,141,Winter 2018,Mondays at 00:00 (JST),"Anthropomorphic, Historical",
Aura: Maryuuin Kouga Saigo no Tatakai,Aura: Koga Maryuin's Last War,7.30,1908,2716,114,Movie,1,Finished Airing,"Apr 13, 2013","AIC,       Sotsu,       Lantis,       Pony Canyon,       Movic,       Delfi Sound,       Marvelous AQL",Sentai Filmworks,AIC ASTA,Light novel,"Drama, Romance",1 hr. 23 min.,R+ - Mild Nudity,578,,,School,
Bamboo Blade,,7.30,2259,2717,89,TV,26,Finished Airing,"Oct 2, 2007 to Apr 1, 2008","AIC,       Square Enix,       d-rights,       Studio Tulip,       KlockWorx,       flying DOG",Funimation,AIC ASTA,Manga,"Comedy, Sports",24 min. per ep.,PG-13 - Teens 13 or older,283,Fall 2007,Tuesdays at 01:30 (JST),"Combat Sports, School",Seinen
Crayon Shin-chan Movie 04: Henderland no Daibouken,,7.30,6752,2719,8,Movie,1,Finished Airing,"Apr 19, 1996",TV Asahi,"None found, add some",Shin-Ei Animation,Manga,"Adventure, Ecchi",1 hr. 37 min.,G - All Ages,11,,,,Seinen
Dogs: Bullets & Carnage,,7.30,2812,2720,61,OVA,4,Finished Airing,"May 19, 2009 to Jul 17, 2009","Atelier Musa,       Shueisha","None found, add some",David Production,Manga,"Action, Drama, Sci-Fi",15 min. per ep.,R - 17+ (violence & profanity),252,,,"Adult Cast, Gore, Organized Crime",Seinen
Future GPX Cyber Formula 11,,7.30,9733,2724,3,OVA,6,Finished Airing,"Nov 1, 1992 to Jun 1, 1993","None found, add some","None found, add some",Sunrise,Original,"Drama, Sci-Fi",30 min. per ep.,PG-13 - Teens 13 or older,11,,,Racing,
Doraemon: 2112-nen Doraemon Tanjou,,7.30,7814,2721,6,Movie,1,Finished Airing,"Mar 4, 1995",TV Asahi,"None found, add some",Shin-Ei Animation,Unknown,"Comedy, Fantasy",30 min.,PG - Children,5,,,,Kids
Fullmetal Alchemist: Premium Collection,Fullmetal Alchemist: Premium OVA Collection,7.30,2594,2722,71,OVA,3,Finished Airing,"Mar 29, 2006","Aniplex,       Square Enix",Funimation,Bones,Manga,"Comedy, Fantasy",7 min. per ep.,PG-13 - Teens 13 or older,90,,,,Shounen
Fuse: Teppou Musume no Torimonochou,Fusé: Memoirs of a Huntress,7.30,3833,2723,34,Movie,1,Finished Airing,"Oct 20, 2012","TV Tokyo,       Sotsu,       MediaNet,       Kids Station,       Nippon Columbia,       Asmik Ace,       Q-Tec,       Tokyo Theatres,       Bungeishunjuu,       Toppan Printing,       Keisei Electric Railway,       TMS Music","NIS America, Inc.,       Discotek Media",TMS Entertainment,Book,"Action, Drama, Supernatural",1 hr. 50 min.,R - 17+ (violence & profanity),123,,,Historical,
Ginban Kaleidoscope,Skating Rink Kaleidoscope,7.30,3130,2725,50,TV,12,Finished Airing,"Oct 9, 2005 to Dec 25, 2005",Aniplex,"None found, add some",Karaku,Light novel,"Drama, Romance, Sports, Supernatural",24 min. per ep.,PG-13 - Teens 13 or older,162,Fall 2005,Sundays at 02:40 (JST),Performing Arts,
Hayate no Gotoku!!: Atsu ga Natsuize - Mizugi-hen!,,7.30,3621,2726,38,OVA,1,Finished Airing,"Mar 6, 2009","None found, add some","None found, add some",J.C.Staff,Manga,"Action, Comedy, Romance",27 min.,PG-13 - Teens 13 or older,35,,,"Harem, Parody",
High School Fleet,,7.30,2011,2728,106,TV,12,Finished Airing,"Apr 10, 2016 to Jun 26, 2016","Aniplex,       Half H.P Studio,       Asmik Ace,       Graphinica,       BS11,       Contents Seed,       Cromea,       Akatsuki",Aniplex of America,Production IMS,Original,Action,24 min. per ep.,PG-13 - Teens 13 or older,867,Spring 2016,Sundays at 00:00 (JST),"Military, School",
Heisei Tanuki Gassen Ponpoko,Pom Poko,7.30,1967,2727,109,Movie,1,Finished Airing,"Jun 13, 1994","Daiei,       Nippon Television Network","Disney Platform Distribution,       GKIDS",Studio Ghibli,Original,Award Winning,1 hr. 59 min.,G - All Ages,321,,,Anthropomorphic,Kids
Aa! Megami-sama!,Oh! My Goddess,7.29,2997,2729,54,OVA,5,Finished Airing,"Feb 21, 1993 to May 17, 1994","Bandai Visual,       KSS,       Pony Canyon,       TBS,       Kodansha,       Half H.P Studio,       Nichion",AnimEigo,AIC,Manga,"Comedy, Romance, Supernatural",30 min. per ep.,PG-13 - Teens 13 or older,253,,,,Seinen
Aharen-san wa Hakarenai,,7.29,708,2730,335,TV,12,Finished Airing,"Apr 2, 2022 to Jun 18, 2022",bilibili,Crunchyroll,Felix Film,Manga,"Comedy, Romance",23 min. per ep.,PG-13 - Teens 13 or older,"2,244",Spring 2022,Saturdays at 02:25 (JST),School,Shounen
Aoyama Goushou Tanpenshuu,Gosho Aoyama's Collection of Short Stories,7.29,7739,2731,6,Special,7,Finished Airing,"Mar 17, 1999 to Dec 22, 1999","None found, add some","None found, add some",TMS Entertainment,Manga,"Adventure, Comedy, Mystery",20 min. per ep.,PG-13 - Teens 13 or older,9,,,Detective,Shounen
Bakemonogatari Recap,,7.29,3093,2732,51,TV Special,1,Finished Airing,"Aug 7, 2009","None found, add some","None found, add some",Shaft,Light novel,"Mystery, Romance, Supernatural",24 min.,R - 17+ (violence & profanity),52,,,,
Beelzebub: Hirotta Akachan wa Daimaou!?,,7.29,3617,2733,38,Special,1,Finished Airing,"Oct 23, 2010","Pierrot,       Shueisha","None found, add some",Pierrot Plus,Manga,"Action, Comedy, Supernatural",30 min.,PG-13 - Teens 13 or older,47,,,"Childcare, Delinquents, Mythology, School",Shounen
Bishoujo Senshi Sailor Moon: Sailor Stars - Hero Club,,7.29,6208,2734,10,OVA,3,Finished Airing,"Dec 13, 1996 to Jun 21, 1997",TV Asahi,"None found, add some",Toei Animation,Manga,"Adventure, Comedy, Drama, Fantasy, Romance",30 min. per ep.,PG-13 - Teens 13 or older,10,,,Mahou Shoujo,Shoujo
Bubblegum Crisis,,7.29,2968,2735,55,OVA,8,Finished Airing,"Feb 25, 1987 to Jan 30, 1991",Youmex,AnimEigo,"AIC,       Artmic",Original,"Action, Adventure, Sci-Fi",41 min. per ep.,R+ - Mild Nudity,553,,,"Adult Cast, Mecha",
Busou Renkin,Buso Renkin,7.29,1371,2736,173,TV,26,Finished Airing,"Oct 5, 2006 to Mar 29, 2007","Yomiko Advertising,       Shueisha,       Imagine,       Geneon Entertainment",VIZ Media,Xebec,Manga,"Action, Fantasy",24 min. per ep.,PG-13 - Teens 13 or older,863,Fall 2006,Thursdays at 01:00 (JST),"School, Super Power",Shounen
Cang Lan Jue,Love Between Fairy and Devil,7.29,8795,2737,4,ONA,12,Finished Airing,"Jul 15, 2022 to Sep 23, 2022","iQIYI,       Youliao Studio","None found, add some",Garden Culture,Web novel,"Fantasy, Romance",15 min. per ep.,PG-13 - Teens 13 or older,50,,,,
D4DJ Double Mix,,7.29,7237,2738,7,TV Special,1,Finished Airing,"Aug 19, 2022",Bushiroad,"None found, add some",SANZIGEN,Mixed media,,23 min.,PG-13 - Teens 13 or older,28,,,Music,
Detroit Metal City: Birth of the Metal Devil,,7.29,4510,2740,24,Special,1,Finished Airing,"Jul 11, 2008","None found, add some","None found, add some",Studio 4°C,Manga,Comedy,13 min.,R - 17+ (violence & profanity),18,,,"Adult Cast, Gag Humor, Music, Parody, Showbiz",Seinen
Dead Mount Death Play,,7.29,1082,2739,226,TV,12,Finished Airing,"Apr 11, 2023 to Jun 27, 2023","Square Enix,       Movic,       Half H.P Studio,       F.M.F,       King Records,       Crunchyroll,       Kadokawa Media House,       Geek Pictures","None found, add some",Geek Toys,Manga,"Action, Fantasy, Supernatural",23 min. per ep.,R - 17+ (violence & profanity),"1,182",Spring 2023,Tuesdays at 00:00 (JST),Reincarnation,Seinen
Doraemon Movie 29: Shin Nobita no Uchuu Kaitakushi,Doraemon the Movie: The Record of Nobita's Spaceblazer,7.29,7115,2741,7,Movie,1,Finished Airing,"Mar 7, 2009",TV Asahi,"None found, add some",Shin-Ei Animation,Unknown,"Adventure, Comedy, Fantasy",1 hr. 38 min.,PG - Children,2,,,,Kids
Final Fantasy VII: Last Order,,7.29,2689,2743,66,Special,1,Finished Airing,"Sep 14, 2005","Sony Pictures Entertainment,       Square Enix","None found, add some",Madhouse,Game,"Action, Adventure, Drama, Fantasy, Sci-Fi",25 min.,PG-13 - Teens 13 or older,132,,,,
Fate/Grand Order: Fujimaru Ritsuka wa Wakaranai,Fate/Grand Order: You've Lost Ritsuka Fujimaru,7.29,7670,2742,6,ONA,33,Finished Airing,"Feb 4, 2023 to Jul 30, 2023","Notes,       INSPION Edge","None found, add some",DLE,Manga,Comedy,2 min. per ep.,PG-13 - Teens 13 or older,19,,,,
Hetalia: The Beautiful World Extra Disc,,7.29,6339,2746,10,OVA,1,Finished Airing,"Feb 26, 2014",Frontier Works,Funimation,Studio Deen,Web manga,Comedy,5 min.,PG-13 - Teens 13 or older,5,,,"Historical, Parody",
Gaikotsu Shotenin Honda-san,Skull-face Bookseller Honda-san,7.29,1842,2744,119,TV,12,Finished Airing,"Oct 8, 2018 to Dec 24, 2018","Lantis,       Half H.P Studio,       Encourage Films,       Radio Osaka,       Kadokawa,       Muse Communication,       Bandai Namco Arts",Discotek Media,DLE,Web manga,Comedy,11 min. per ep.,PG-13 - Teens 13 or older,405,Fall 2018,Mondays at 00:30 (JST),"Adult Cast, Otaku Culture, Workplace",
GJ-bu,GJ Club,7.29,1363,2745,175,TV,12,Finished Airing,"Jan 10, 2013 to Mar 28, 2013","VAP,       DAX Production,       Nippon Television Network","None found, add some",Doga Kobo,Light novel,Comedy,23 min. per ep.,PG-13 - Teens 13 or older,758,Winter 2013,Unknown,School,
"Himesama ""Goumon"" no Jikan desu","'Tis Time for ""Torture,"" Princess",7.29,2987,2747,55,TV,12,Finished Airing,"Jan 9, 2024 to Mar 26, 2024","Shogakukan-Shueisha Productions,       Magic Capsule,       Shogakukan Music & Digital Entertainment,       Bushiroad,       Tokyo MX,       Universal Music Japan,       Kansai Telecasting,       BS11,       JR East Marketing & Communications,       AbemaTV,       Bandai Spirits","None found, add some",PINE JAM,Manga,"Comedy, Fantasy, Gourmet",23 min. per ep.,PG-13 - Teens 13 or older,172,Winter 2024,Tuesdays at 00:00 (JST),,Shounen
Hisone to Maso-tan,Dragon Pilot: Hisone and Masotan,7.29,2336,2748,84,TV,12,Finished Airing,"Apr 13, 2018 to Jun 29, 2018","Warner Bros. Japan,       KlockWorx,       BS Fuji,       Hakuhodo DY Music & Pictures","None found, add some",Bones,Original,"Award Winning, Comedy, Drama, Fantasy",24 min. per ep.,PG-13 - Teens 13 or older,327,Spring 2018,Fridays at 00:00 (JST),Military,
Isekai Yakkyoku,Parallel World Pharmacy,7.29,1140,2749,215,TV,12,Finished Airing,"Jul 10, 2022 to Sep 25, 2022","Frontier Works,       Pony Canyon,       AT-X,       Kansai Telecasting,       BS NTV,       Kadokawa,       Bit grooove promotion","None found, add some",Diomedéa,Light novel,Fantasy,23 min. per ep.,PG-13 - Teens 13 or older,876,Summer 2022,Sundays at 21:30 (JST),"Isekai, Medical, Reincarnation",
Fushigiboshi no☆Futagohime,,7.28,5808,2802,12,TV,51,Finished Airing,"Apr 2, 2005 to Mar 25, 2006","TV Tokyo,       Nihon Ad Systems","None found, add some",HAL Film Maker,Original,"Comedy, Fantasy",24 min. per ep.,G - All Ages,122,Spring 2005,Unknown,Mahou Shoujo,
Kao Ni La Zhanshen Xitong,War God System! I'm Counting On You!,7.29,5256,2750,16,ONA,16,Finished Airing,"Jul 27, 2022 to Nov 2, 2022",bilibili,"None found, add some",Chongzhuo Animation,Novel,"Action, Comedy, Fantasy",19 min. per ep.,PG-13 - Teens 13 or older,92,,,Martial Arts,
Fate/stay night,,7.28,171,2801,946,TV,24,Finished Airing,"Jan 7, 2006 to Jun 17, 2006","Frontier Works,       TBS,       KlockWorx,       Notes,       Geneon Entertainment","Sentai Filmworks,       Geneon Entertainment USA",Studio Deen,Visual novel,"Action, Fantasy, Romance, Supernatural",24 min. per ep.,R - 17+ (violence & profanity),"7,309",Winter 2006,Saturdays at 01:30 (JST),,
Gatchaman Crowds,,7.28,1308,2803,184,TV,12,Finished Airing,"Jul 13, 2013 to Sep 28, 2013","VAP,       DAX Production,       Nippon Television Network",Sentai Filmworks,Tatsunoko Production,Original,"Action, Sci-Fi",23 min. per ep.,PG-13 - Teens 13 or older,"1,243",Summer 2013,Saturdays at Unknown,Super Power,
Gosenzo-sama Banbanzai!,Long Life To The Ancestors,7.28,6463,2804,9,OVA,6,Finished Airing,"Aug 5, 1989 to Jan 25, 1990","None found, add some","None found, add some",Pierrot,Original,"Avant Garde, Comedy, Drama, Sci-Fi",30 min. per ep.,R - 17+ (violence & profanity),147,,,Psychological,
High School! Kimengumi,Funny Faces in High School,7.28,8735,2808,4,TV,86,Finished Airing,"Oct 20, 1985 to Oct 3, 1987",Tsuchida Productions,"None found, add some","Gallop,       Studio Comet",Manga,"Comedy, Romance",25 min. per ep.,PG-13 - Teens 13 or older,24,Fall 1985,Unknown,"Gag Humor, Parody, School",Shounen
Hikaru no Go: New Year Special,,7.28,6554,2809,9,Special,1,Finished Airing,"Jan 1, 2002","None found, add some","None found, add some",Pierrot,Manga,"Comedy, Supernatural",24 min.,G - All Ages,3,,,Strategy Game,Shounen
Heroine Tarumono! Kiraware Heroine to Naisho no Oshigoto,Heroines Run the Show: The Unpopular Girl and the Secret Task,7.28,2654,2805,68,TV,12,Finished Airing,"Apr 7, 2022 to Jun 23, 2022","Movic,       Futabasha,       U-NEXT,       MusicRay’n,       INCS toenter,       Marui Group,       Lawson Entertainment,       tamakoshi,       flaggs,       Laulea Works,       Alice",Crunchyroll,Lay-duce,Music,,23 min. per ep.,PG-13 - Teens 13 or older,418,Spring 2022,Thursdays at 22:30 (JST),"Idols (Male), School",
Hige wo Soru. Soshite Joshikousei wo Hirou.,"Higehiro: After Being Rejected, I Shaved and Took in a High School Runaway",7.28,357,2807,612,TV,13,Finished Airing,"Apr 5, 2021 to Jun 28, 2021","Toei Video,       Pony Canyon,       AT-X,       Magic Capsule,       KlockWorx,       Hakuhodo DY Music & Pictures,       BS11,       Kadokawa,       Yomiuri Shimbun,       APDREAM,       Dream Shift,       Bergamo","None found, add some",Project No.9,Light novel,"Drama, Romance",23 min. per ep.,PG-13 - Teens 13 or older,"6,221",Spring 2021,Mondays at 22:30 (JST),,
Hetalia: The World Twinkle Extra Disc,,7.28,6933,2806,8,OVA,1,Finished Airing,"Feb 24, 2016","None found, add some",Funimation,Studio Deen,Manga,Comedy,12 min.,PG-13 - Teens 13 or older,9,,,"Historical, Parody",
Hitorijime My Hero,,7.28,1389,2810,170,TV,12,Finished Airing,"Jul 8, 2017 to Sep 23, 2017","Sotsu,       AT-X,       Tokyo MX,       Avex Pictures,       Q-Tec,       Docomo Anime Store,       Marine Entertainment,       Kanon Sound,       Contents Seed,       Ichijinsha,       BS NTV",Sentai Filmworks,Encourage Films,Manga,"Boys Love, Drama",24 min. per ep.,PG-13 - Teens 13 or older,"1,403",Summer 2017,Sundays at 01:30 (JST),School,
Honoo no Toukyuuji: Dodge Danpei,,7.28,8062,2811,5,TV,47,Finished Airing,"Oct 14, 1991 to Sep 21, 1992","TV Tokyo,       Shogakukan-Shueisha Productions","None found, add some",Animation 21,Manga,"Comedy, Sports",25 min. per ep.,PG - Children,34,Fall 1991,Unknown,"School, Team Sports",Kids
Hunter x Hunter Movie 1: Phantom Rouge,Hunter x Hunter: Phantom Rouge,7.28,1207,2812,201,Movie,1,Finished Airing,"Jan 12, 2013","VAP,       Nippon Television Network,       TOHO animation,       Shueisha,       Hiroshima Television",VIZ Media,Madhouse,Manga,"Action, Adventure, Fantasy",1 hr. 36 min.,PG-13 - Teens 13 or older,304,,,,Shounen
Hunter x Hunter Movie 2: The Last Mission,Hunter x Hunter: The Last Mission,7.28,1326,2813,181,Movie,1,Finished Airing,"Dec 27, 2013","VAP,       Nippon Television Network,       Shueisha,       Hiroshima Television",VIZ Media,Madhouse,Manga,"Action, Adventure, Fantasy",1 hr. 37 min.,R - 17+ (violence & profanity),286,,,,Shounen
Kami nomi zo Shiru Sekai: 4-nin to Idol,The World God Only Knows: Four Girls and an Idol,7.28,1989,2814,107,OVA,1,Finished Airing,"Sep 16, 2011","Geneon Universal Entertainment,       Shogakukan-Shueisha Productions,       Shogakukan Music & Digital Entertainment",Sentai Filmworks,Manglobe,Manga,"Comedy, Supernatural",24 min.,PG-13 - Teens 13 or older,86,,,Music,Shounen
Kamisama no Inai Nichiyoubi,Sunday Without God,7.28,1093,2815,222,TV,12,Finished Airing,"Jul 7, 2013 to Sep 22, 2013","Starchild Records,       AT-X,       KlockWorx,       Memory-Tech,       Studio Mausu",Sentai Filmworks,Madhouse,Light novel,"Adventure, Drama, Fantasy, Mystery",23 min. per ep.,R - 17+ (violence & profanity),892,Summer 2013,Sundays at 01:30 (JST),,
Kiba,,7.28,2426,2816,79,TV,51,Finished Airing,"Apr 2, 2006 to Mar 25, 2007","Aniplex,       Ashi Productions,       Sony Music Entertainment","ADV Films,       Sentai Filmworks",Madhouse,Original,"Action, Adventure, Fantasy",24 min. per ep.,PG-13 - Teens 13 or older,456,Spring 2006,Sundays at 08:30 (JST),Isekai,
Kuma Kuma Kuma Bear Punch!,,7.28,2448,2817,78,TV,12,Finished Airing,"Apr 3, 2023 to Jun 19, 2023","Nippon Animation,       AT-X,       Nippon Columbia,       Tokyo MX,       Good Smile Company,       Kanon Sound,       NichiNare,       Kadokawa,       Shufu to Seikatsusha","None found, add some",EMT Squared,Light novel,"Adventure, Comedy, Fantasy",23 min. per ep.,PG-13 - Teens 13 or older,431,Spring 2023,Mondays at 22:00 (JST),Isekai,
Liehuo Jiao Chou,Drowning Sorrows in Raging Fire,7.28,6872,2818,8,ONA,12,Finished Airing,"Oct 7, 2021 to Dec 16, 2021",bilibili,"None found, add some",Shengying Animation,Novel,"Action, Drama, Supernatural",20 min. per ep.,PG-13 - Teens 13 or older,69,,,,
Long Zhi Gu: Jingling Wangzuo,Dragon Nest: Throne of Elves,7.28,8823,2819,4,Movie,1,Finished Airing,"Aug 19, 2016","None found, add some","None found, add some",Mili Pictures,Game,"Action, Adventure, Fantasy",1 hr. 44 min.,PG - Children,13,,,,
Long Zu Episode 0,Dragon Raja,7.28,7169,2820,7,ONA,1,Finished Airing,"Aug 19, 2022",Tencent Penguin Pictures,"None found, add some",Garden Culture,Novel,Fantasy,47 min.,PG-13 - Teens 13 or older,11,,,School,
Lupin III: Otakara Henkyaku Daisakusen!!,Lupin III: Operation Return the Treasure,7.28,7240,2821,7,TV Special,1,Finished Airing,"Aug 1, 2003","None found, add some",Discotek Media,TMS Entertainment,Manga,"Action, Adventure, Comedy, Mystery",1 hr. 30 min.,PG-13 - Teens 13 or older,2,,,Adult Cast,Seinen
Lupin III: Part III,,7.28,4599,2822,23,TV,50,Finished Airing,"Mar 3, 1984 to Dec 25, 1985",Yomiuri Telecasting,Discotek Media,Tokyo Movie Shinsha,Manga,"Action, Adventure, Comedy",24 min. per ep.,R+ - Mild Nudity,33,Spring 1984,Unknown,Adult Cast,Seinen
Macross Δ,Macross Delta,7.28,2444,2823,78,TV,26,Finished Airing,"Apr 3, 2016 to Sep 25, 2016","Bandai Visual,       Big West,       flying DOG,       Techno Sound",Nozomi Entertainment,Satelight,Original,"Action, Romance, Sci-Fi",23 min. per ep.,PG-13 - Teens 13 or older,523,Spring 2016,Sundays at 22:30 (JST),"Mecha, Military, Music, Space",
Mahouka Koukou no Rettousei: Raihousha-hen,The Irregular at Magic High School: Visitor Arc,7.28,660,2824,358,TV,13,Finished Airing,"Oct 4, 2020 to Dec 27, 2020","Aniplex,       Square Enix,       Movic,       Studio Mausu,       Straight Edge,       Kadokawa",Aniplex of America,8bit,Light novel,"Action, Fantasy, Romance, Sci-Fi",23 min. per ep.,PG-13 - Teens 13 or older,"1,246",Fall 2020,Sundays at 00:30 (JST),School,
Mirai no Mirai,Mirai,7.28,1622,2826,141,Movie,1,Finished Airing,"Jul 20, 2018","TOHO,       NTT Docomo,       Nippon Television Network,       Kadokawa,       D.N. Dream Partners,       Sonilude","NYAV Post,       GKIDS",Studio Chizu,Original,"Adventure, Drama, Fantasy",1 hr. 38 min.,G - All Ages,364,,,Time Travel,
Maria-sama ga Miteru,Maria Watches Over Us,7.28,2600,2825,71,TV,13,Finished Airing,"Jan 8, 2004 to Apr 1, 2004","Rondo Robe,       TV Tokyo Music","Nozomi Entertainment,       Maiden Japan",Studio Deen,Light novel,"Drama, Girls Love",24 min. per ep.,PG-13 - Teens 13 or older,698,Winter 2004,Thursdays at Unknown,School,Shoujo
Naruto: Shippuuden Movie 2 - Kizuna,Naruto Shippuden the Movie 2: Bonds,7.28,910,2827,269,Movie,1,Finished Airing,"Aug 2, 2008","TV Tokyo,       Aniplex,       Dentsu,       Bandai,       TOHO,       Studio Jack",VIZ Media,Pierrot,Manga,"Action, Adventure, Fantasy",1 hr. 32 min.,PG-13 - Teens 13 or older,253,,,,Shounen
Nazo no Kanojo X: Nazo no Natsu Matsuri,Mysterious Girlfriend X: A Mysterious Summer Festival,7.28,3327,2828,44,OVA,1,Finished Airing,"Aug 23, 2012","None found, add some","None found, add some",Hoods Entertainment,Manga,"Mystery, Romance, Ecchi",26 min.,PG-13 - Teens 13 or older,95,,,,Seinen
Nitaboh,,7.28,6496,2829,9,Movie,1,Finished Airing,"Feb 21, 2004","None found, add some","None found, add some",WAO World,Other,,1 hr. 39 min.,PG - Children,19,,,"Historical, Music",
Noir,,7.28,1904,2830,114,TV,26,Finished Airing,"Apr 6, 2001 to Sep 28, 2001",Victor Entertainment,"ADV Films,       Funimation",Bee Train,Original,"Action, Drama, Mystery",24 min. per ep.,PG-13 - Teens 13 or older,870,Spring 2001,Fridays at 01:15 (JST),Organized Crime,
Onegai☆Teacher: Himitsu na Futari,Please Teacher!: Secret Couple,7.28,3184,2831,48,OVA,1,Finished Airing,"Oct 25, 2002","Bandai Visual,       WOWOW,       Lantis","Nozomi Entertainment,       Bandai Entertainment",Daume,Original,"Comedy, Romance, Sci-Fi, Ecchi",21 min.,PG-13 - Teens 13 or older,55,,,,
