Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Demographics,Duration,Rating,Favorites,Genres,Themes,Premiered,Broadcast
Compiler Festa,Compiler 2,5.28,12444,12182,1,OVA,1,Finished Airing,"Dec 21, 1995","None found, add some",ADV Films,Studio Fantasia,Manga,,50 min.,R+ - Mild Nudity,1,"Action, Drama, Sci-Fi",,,
Connected...,,5.28,15442,12183,592,ONA,1,Finished Airing,"Dec 6, 2020","None found, add some","None found, add some","Production I.G,       monofilmo",Original,,2 min.,PG-13 - Teens 13 or older,1,Sci-Fi,,,
Cream Lemon: Lemon Angel,Lemon Angel,5.28,8693,12184,4,TV,37,Finished Airing,"Oct 1, 1987 to Dec 24, 1987","None found, add some","None found, add some",AIC,Other,,3 min. per ep.,R+ - Mild Nudity,6,Ecchi,"Idols (Female), Music",Fall 1987,Unknown
Eunhajeonseol Tera,,5.28,16529,12185,466,Movie,1,Finished Airing,"Jan 3, 1983","None found, add some","None found, add some",Daewon Media,Original,,1 hr. 11 min.,PG-13 - Teens 13 or older,0,"Action, Adventure, Sci-Fi",Space,,
Fushigi no Umi no Nadia: Original Movie,Nadia: The Secret of Blue Water - The Motion Picture,5.28,6875,12186,8,Movie,1,Finished Airing,"Jun 29, 1991",NHK,"None found, add some","Gainax,       Group TAC",Original,,1 hr. 27 min.,PG-13 - Teens 13 or older,4,"Action, Adventure, Drama, Mystery, Romance, Sci-Fi",Historical,,
Kumo no Ito,Spider Silk,5.28,12604,12187,1,Movie,1,Finished Airing,1946,"None found, add some","None found, add some","None found, add some",Unknown,,10 min.,G - All Ages,1,Fantasy,,,
Lotus,,5.28,19676,12188,244,Movie,1,Finished Airing,2007,"None found, add some","None found, add some","None found, add some",Original,,3 min.,G - All Ages,0,Avant Garde,,,
Maken Liner 0011 Henshin Seyo!,,5.28,13707,12189,978,Movie,1,Finished Airing,"Jul 16, 1972","None found, add some","None found, add some",Toei Animation,Unknown,,50 min.,PG - Children,1,"Action, Sci-Fi",Mecha,,
Nihon Mukashibanashi: Saru Kani,,5.28,16130,12190,506,Movie,1,Finished Airing,1972,Gakken,"None found, add some","None found, add some",Other,,19 min.,G - All Ages,0,Fantasy,,,
Nora to Oujo to Noraneko Heart: Nora Fuku Ekichou Shuunin-shiki,,5.28,11522,12191,1,ONA,1,Finished Airing,"Sep 14, 2018","None found, add some","None found, add some","None found, add some",Original,,50 sec.,G - All Ages,0,Comedy,,,
Pacusi,,5.28,15165,12192,633,TV,18,Finished Airing,"Apr 4, 1994 to Jan 5, 1995",NHK,"None found, add some","None found, add some",Original,,1 min. per ep.,G - All Ages,0,Comedy,,Spring 1994,Unknown
Pokemon Dai Koushin!,Pokémon Kids TV: Great March of Pokémon,5.28,13903,12193,917,ONA,1,Finished Airing,"Jan 31, 2019","None found, add some","None found, add some","None found, add some",Game,Kids,5 min.,PG - Children,0,Fantasy,Music,,
Salad Land,,5.28,16412,12194,476,ONA,1,Finished Airing,"Feb 9, 2012","None found, add some","None found, add some","None found, add some",Other,,4 min.,G - All Ages,0,Fantasy,,,
Saru Kani Gassen (1927),Yasuji Murata's Monkey and the Crabs,5.28,13065,12195,1,Movie,1,Finished Airing,May 1927,"None found, add some","None found, add some","None found, add some",Other,,5 min.,G - All Ages,0,Drama,,,
Sema Kuruoshii Ie,,5.28,17084,12196,417,ONA,1,Finished Airing,"Jul 16, 2019","None found, add some","None found, add some","None found, add some",Original,,1 min.,PG - Children,0,Horror,,,
Shimanchu MiRiKa,,5.28,14477,12197,778,TV Special,1,Finished Airing,"Mar 21, 2011","None found, add some","None found, add some","None found, add some",Original,,24 min.,G - All Ages,0,Slice of Life,Performing Arts,,
SOS TV Walpurgis Night Fever Episode 0,,5.28,13288,12198,1,Special,1,Finished Airing,"Apr 13, 2010","Lantis,       Barnum Studio","None found, add some","None found, add some",Original,,2 min.,PG-13 - Teens 13 or older,0,"Comedy, Sci-Fi",,,
Tatamp,,5.28,14755,12199,707,Movie,1,Finished Airing,2011,"None found, add some","None found, add some",Mirai Film,Original,,5 min.,G - All Ages,0,,Music,,
Tough Guy!,,5.28,14976,12200,670,Movie,1,Finished Airing,"Jun 3, 2005","None found, add some","None found, add some","None found, add some",Original,,6 min.,G - All Ages,0,"Action, Award Winning, Comedy",,,
Worku,,5.28,14934,12202,675,ONA,2,Finished Airing,"Apr 5, 2005 to Mar 14, 2017",The Village of Marchen,"None found, add some","None found, add some",Unknown,,11 min. per ep.,G - All Ages,0,Fantasy,Psychological,,
"Umete, Bye-Bye","Bury, Bye-Bye",5.28,19136,12201,274,ONA,1,Finished Airing,"Aug 10, 2011","None found, add some","None found, add some","None found, add some",Original,,2 min.,G - All Ages,0,Avant Garde,Music,,
Zekkyou Gakkyuu,,5.28,8494,12203,5,Special,3,Finished Airing,"Oct 23, 2012 to Nov 6, 2012",TV Tokyo,"None found, add some","None found, add some",Manga,Shoujo,1 min. per ep.,G - All Ages,1,Supernatural,,,
Shoot! Goal to the Future,,5.27,5266,12204,16,TV,13,Finished Airing,"Jul 2, 2022 to Sep 24, 2022","AT-X,       BS Fuji,       Being,       Amusement Media Academy,       Crunchyroll,       Yomiuri TV Enterprise,       NTT Plala,       Production Ace,       BS NTV,       MAGNET,       HoriPro International","None found, add some","Magic Bus,       EMT Squared",Manga,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,77,Sports,Team Sports,Summer 2022,Saturdays at 23:30 (JST)
Spin,,5.27,18831,12205,292,Movie,1,Finished Airing,1993,"None found, add some","None found, add some","None found, add some",Original,,4 min.,G - All Ages,1,Avant Garde,Music,,
Taiko no Tatsujin: 15-shuunen Kinen Short Animation,,5.27,10902,12206,2,ONA,1,Finished Airing,"Jun 25, 2015","None found, add some","None found, add some",Studio Ghibli,Game,,33 sec.,G - All Ages,1,,Video Game,,
Toei Robot Girls,,5.27,10649,12207,2,ONA,1,Finished Airing,"Jul 2, 2011","None found, add some","None found, add some",Toei Animation,Original,,1 min.,PG-13 - Teens 13 or older,1,Sci-Fi,"Mecha, Parody",,
Windows Tablet no Uta,,5.27,17433,12208,391,ONA,1,Finished Airing,"Nov 3, 2014","None found, add some","None found, add some","None found, add some",Original,,2 min.,G - All Ages,1,Comedy,Music,,
Yakusoku no Neverland 2nd Season,The Promised Neverland Season 2,5.27,182,12209,928,TV,11,Finished Airing,"Jan 8, 2021 to Mar 26, 2021","Aniplex,       Shueisha",Aniplex of America,CloverWorks,Manga,Shounen,22 min. per ep.,R - 17+ (violence & profanity),"4,513","Fantasy, Sci-Fi, Suspense","Psychological, Survival",Winter 2021,Fridays at 01:25 (JST)
Ane Log: Moyako Neesan no Honpen wo Tobidashite Tomaranai Monologue Specials,,5.27,7423,12211,7,Special,3,Finished Airing,"Apr 18, 2014","None found, add some","None found, add some",Brain's Base,Manga,,5 min. per ep.,PG-13 - Teens 13 or older,2,"Comedy, Ecchi",,,
You Shoumei Bijutsukan Line,Yoh Shomei Art Gallery Line,5.27,13430,12210,1,OVA,1,Finished Airing,"Aug 1, 2006","None found, add some","None found, add some",Toei Animation,Original,,24 min.,G - All Ages,1,Fantasy,,,
Benkei tai Ushiwaka,,5.27,12287,12212,1,Movie,1,Finished Airing,Jul 1939,"None found, add some","None found, add some","None found, add some",Other,,13 min.,G - All Ages,2,"Action, Comedy",,,
Calicula Machine,,5.27,17940,12213,352,Movie,1,Finished Airing,1974,"None found, add some","None found, add some","None found, add some",Original,,7 min.,G - All Ages,0,Avant Garde,,,
Call Me Tonight,,5.27,5930,12214,12,OVA,1,Finished Airing,"Jul 28, 1986","None found, add some","None found, add some",AIC,Original,,29 min.,R+ - Mild Nudity,19,"Comedy, Horror, Romance, Sci-Fi",Gore,,
Channel 5.5 3rd Season Prologue,,5.27,15349,12215,607,ONA,1,Finished Airing,Jul 2014,"None found, add some","None found, add some",DLE,Unknown,,3 min.,PG-13 - Teens 13 or older,0,Comedy,,,
Chou Akuukan Bouheki Cheese Napolitan,,5.27,12244,12216,1,ONA,1,Finished Airing,"Dec 29, 2013",Khara,"None found, add some","None found, add some",Other,,2 min.,PG-13 - Teens 13 or older,0,,Music,,
Guilstein,,5.27,12164,12218,1,Movie,1,Finished Airing,"Jun 15, 2002","None found, add some","None found, add some",ACC Production,Original,,1 hr. 31 min.,R - 17+ (violence & profanity),3,"Action, Horror, Sci-Fi",Gore,,
Chou Futsuu Toshi Kashiwa Densetsu Z,,5.27,14579,12217,753,ONA,10,Finished Airing,"Jul 12, 2019 to Sep 13, 2019","None found, add some","None found, add some",Super Normal Studio,Original,,3 min. per ep.,None,0,"Comedy, Fantasy",,,
"Kaitei Daisensou: Ai no 20,000 Miles",,5.27,14405,12219,790,TV Special,1,Finished Airing,"Jan 3, 1981","None found, add some","None found, add some",Tatsunoko Production,Novel,,1 hr. 13 min.,G - All Ages,2,"Action, Adventure",,,
Kidou Senshi Gakuen: G-Reco Koushien,,5.27,13532,12220,1,Special,9,Finished Airing,"Dec 25, 2014 to Aug 26, 2015","None found, add some","None found, add some",Studio PuYUKAI,Original,,4 min. per ep.,PG - Children,0,"Comedy, Sports","Mecha, Parody",,
Kimama ni Idol,,5.27,13442,12221,1,OVA,1,Finished Airing,"Feb 25, 1990","None found, add some","None found, add some",Toei Animation,Manga,,50 min.,R+ - Mild Nudity,0,,"Idols (Female), Music",,
Kimi dake ni Motetainda.,,5.27,6842,12222,8,Movie,1,Finished Airing,"Oct 25, 2019","None found, add some","None found, add some",Signal.MD,Original,,54 min.,PG-13 - Teens 13 or older,10,"Drama, Slice of Life",School,,
Kuro-Nikuru Girls,,5.27,14497,12223,773,ONA,3,Finished Airing,"Dec 16, 2016 to Feb 23, 2017","None found, add some","None found, add some",Studio PuYUKAI,Game,,3 min. per ep.,G - All Ages,1,Comedy,"Parody, School",,
Mr. Shape: High Touch Taisou,,5.27,18544,12226,311,ONA,1,Finished Airing,"May 11, 2015",KOO-KI,"None found, add some","None found, add some",Original,Kids,3 min.,G - All Ages,0,,Music,,
Oshiri Kajiri Mushi (TV) 2nd Season,Bottom Biting Bug 2,5.27,14170,12227,854,TV,32,Finished Airing,"Sep 30, 2013 to Mar 27, 2014","None found, add some","None found, add some",Kinema Citrus,Music,Kids,5 min. per ep.,G - All Ages,1,Comedy,,Fall 2013,Mondays at 18:25 (JST)
Midnight Crazy Trail,,5.27,8126,12225,5,Movie,1,Finished Airing,"Mar 10, 2018","None found, add some","None found, add some",Picona,Original,,23 min.,PG-13 - Teens 13 or older,3,,,,
"Meitou ""Isekai no Yu"" Kaitakuki: Around 40 Onsen Mania no Tensei Saki wa, Nonbiri Onsen Tengoku deshita",Isekai Onsen Paradise,5.27,4166,12224,28,TV,12,Finished Airing,"Jan 12, 2024 to Mar 29, 2024","Hobby Japan,       FUTURE LEAP ,       Gekkou,       YAB EntertainMent,       WWWave",Ascendent Animation,"Wolfsbane,       BloomZ",Light novel,,3 min. per ep.,R+ - Mild Nudity,123,"Fantasy, Ecchi",Isekai,Winter 2024,Fridays at 01:00 (JST)
Ponkotsu Quest x Digimon Story: Cyber Sleuth - Hacker's Memory,,5.27,13209,12228,1,ONA,1,Finished Airing,"Oct 31, 2017","None found, add some","None found, add some",Pie in the sky,Other,,4 min.,G - All Ages,1,"Comedy, Sci-Fi",Parody,,
Santa Company: Manatsu no Merry Christmas,SANTA COMPANY ~Midsummer Merry Christmas~,5.27,10741,12229,2,Movie,1,Finished Airing,"Jan 28, 2021","None found, add some","None found, add some",ORENDA,Original,,26 min.,PG - Children,4,Fantasy,,,
Scared Rider Xechs,,5.27,4803,12230,21,TV,12,Finished Airing,"Jul 6, 2016 to Sep 21, 2016","Sotsu,       MediaNet,       AT-X,       MAGES.,       Docomo Anime Store,       5pb.",Funimation,Satelight,Visual novel,,24 min. per ep.,PG-13 - Teens 13 or older,21,"Adventure, Romance, Sci-Fi",Reverse Harem,Summer 2016,Wednesdays at 01:35 (JST)
Sentou Yousei Shoujo Tasukete! Mave-chan,,5.27,9300,12231,3,OVA,1,Finished Airing,"Feb 24, 2005",Bandai Visual,Bandai Entertainment,Studio Fantasia,Novel,,23 min.,PG-13 - Teens 13 or older,2,"Comedy, Sci-Fi","Parody, Super Power",,
Kidou,,5.26,19487,12232,255,Movie,1,Finished Airing,1994,"None found, add some","None found, add some","None found, add some",Original,,4 min.,G - All Ages,0,Avant Garde,,,
Kozaru no Buranko,,5.26,16510,12233,467,Movie,1,Finished Airing,Dec 1959,"Gakken,       Gakken Eigakyoku","None found, add some","None found, add some",Picture book,Kids,11 min.,G - All Ages,0,,,,
Kubbe Gachapin Mukku,,5.26,17748,12234,368,TV Special,1,Finished Airing,"Sep 26, 2016","TMS Entertainment,       Fuji TV","None found, add some","None found, add some",Picture book,,2 min.,G - All Ages,0,Fantasy,,,
Nanatsu no Bitoku,The Seven Heavenly Virtues,5.26,2869,12235,59,TV,10,Finished Airing,"Jan 27, 2018 to Mar 31, 2018",Hobby Japan,Sentai Filmworks,Bridge,Mixed media,,4 min. per ep.,R+ - Mild Nudity,121,"Fantasy, Ecchi",Mythology,Winter 2018,Saturdays at 00:25 (JST)
Omae wa Mada Gunma wo Shiranai,You Don't Know Gunma Yet,5.26,5578,12236,14,TV,12,Finished Airing,"Apr 2, 2018 to Jun 18, 2018",TOHO animation,"None found, add some",Asahi Production,Web manga,,3 min. per ep.,PG-13 - Teens 13 or older,3,Comedy,School,Spring 2018,Mondays at 20:55 (JST)
Poron Guitar,,5.26,17879,12237,358,Movie,1,Finished Airing,1959,Gakken,"None found, add some","None found, add some",Unknown,Kids,26 min.,G - All Ages,0,,,,
The Baby Birds of Norman McLaren,,5.26,14903,12238,678,Movie,1,Finished Airing,2014,"None found, add some","None found, add some",Mirai Film,Music,,3 min.,G - All Ages,1,,Music,,
Toushinden,Battle Arena Toshinden,5.26,8637,12240,4,OVA,2,Finished Airing,"Jun 21, 1996 to Aug 21, 1996","None found, add some",Central Park Media,J.C.Staff,Game,,27 min. per ep.,R+ - Mild Nudity,1,Action,Martial Arts,,
Tokyo Juushouden,Ten Tokyo Warriors,5.26,10658,12239,2,OVA,3,Finished Airing,"Jul 23, 1999 to Jan 21, 2000","KSS,       Kitty Films",Media Blasters,Zexcs,Unknown,,26 min. per ep.,PG-13 - Teens 13 or older,2,"Action, Adventure, Supernatural",,,
48x61,,5.26,11052,12241,2,ONA,1,Finished Airing,2002,"None found, add some","None found, add some",Madhouse,Original,,6 min.,PG-13 - Teens 13 or older,0,"Comedy, Sports",,,
Anison Nippon,,5.26,13245,12242,1,Special,1,Finished Airing,"Feb 5, 2014","None found, add some","None found, add some","None found, add some",Original,,45 sec.,G - All Ages,0,"Action, Sci-Fi",Music,,
Arcade Gamer Fubuki,,5.26,6949,12243,8,OVA,4,Finished Airing,"Feb 25, 2002 to Jan 25, 2003","Bandai Visual,       Lantis",Central Park Media,Shaft,Manga,,29 min. per ep.,PG-13 - Teens 13 or older,11,"Comedy, Sports, Ecchi","Parody, Super Power, Video Game",,
Asatte Dance,Dance Till Tomorrow,5.26,11074,12244,2,OVA,2,Finished Airing,"Jul 25, 1991 to Oct 21, 1991","None found, add some","None found, add some",Knack Productions,Manga,Seinen,42 min. per ep.,R+ - Mild Nudity,6,"Comedy, Drama, Romance, Ecchi",,,
Bansoukousaten,,5.26,19174,12245,272,ONA,1,Finished Airing,"Apr 5, 2014","None found, add some","None found, add some","None found, add some",Original,,6 min.,G - All Ages,1,"Drama, Slice of Life",School,,
Code Geass: Hangyaku no Lelouch DVD Magazine: Omake Flash - Baba Theater,Code Geass: Lelouch of the Rebellion DVD Magazine: Extra Flash - Baba Theater,5.26,15007,12246,665,Special,2,Finished Airing,"Dec 21, 2007 to Jan 25, 2008","None found, add some","None found, add some","None found, add some",Original,,1 min. per ep.,PG-13 - Teens 13 or older,0,Comedy,Parody,,
Gararin to Gororin,,5.26,16678,12247,451,TV Special,1,Finished Airing,"Feb 15, 2006",NHK,"None found, add some","None found, add some",Original,Kids,5 min.,PG - Children,1,,Music,,
Haruko no Bouken,Haruko Adventure,5.26,15895,12248,534,Movie,1,Finished Airing,1990,"None found, add some","None found, add some","None found, add some",Unknown,,14 min.,PG-13 - Teens 13 or older,1,Avant Garde,,,
Imokawa Mukuzo: Genkanban no Maki,,5.26,13160,12249,1,Movie,1,Finished Airing,Jan 1917 to ?,Tenkatsu Tennenshoku Katsudou Shashin,"None found, add some","None found, add some",Original,,8 min.,G - All Ages,2,Comedy,,,
Itazuraguma no Gloomy,GLOOMY The Naughty Grizzly,5.26,7009,12250,8,TV,12,Finished Airing,"Apr 12, 2021 to Jun 28, 2021","Contents Seed,       Mixer","None found, add some",NAZ,Other,,1 min. per ep.,R - 17+ (violence & profanity),44,Comedy,Gore,Spring 2021,Mondays at 23:57 (JST)
Ari to Hato (1959),,5.25,15626,12252,564,Movie,1,Finished Airing,"Sep 5, 1959",Gakken,"None found, add some",Gakken Eigakyoku,Other,Kids,8 min.,G - All Ages,0,,,,
Jikuu Bouken Nuumamonjaa,Chrono Trigger,5.26,7371,12251,7,OVA,1,Finished Airing,"Aug 1, 1996",Yomiko Advertising,"None found, add some",Production I.G,Game,,16 min.,PG-13 - Teens 13 or older,9,"Action, Comedy, Fantasy",,,
Gensei Shugoshin P-hyoro Ikka,,5.25,13027,12254,1,OVA,3,Finished Airing,"Sep 1, 1988","Bandai Visual,       Magic Bus","None found, add some","None found, add some",Manga,Shoujo,30 min. per ep.,PG-13 - Teens 13 or older,2,"Adventure, Fantasy",,,
Contact 2,,5.25,15254,12253,622,Special,1,Finished Airing,2006,"None found, add some","None found, add some",RG Animation Studios,Original,Kids,3 min.,G - All Ages,0,"Comedy, Sci-Fi",,,
Guitar,,5.25,18764,12255,296,Movie,1,Finished Airing,2009,"None found, add some","None found, add some","None found, add some",Unknown,,4 min.,G - All Ages,0,,Music,,
Gummies,,5.25,19754,12256,240,Special,1,Finished Airing,2019,"CEKAI,       MTV Japan","None found, add some","None found, add some",Original,,10 sec.,G - All Ages,0,Avant Garde,Music,,
Hand Shakers,,5.25,1999,12257,107,TV,12,Finished Airing,"Jan 11, 2017 to Mar 29, 2017","Frontier Works,       Movic,       Sony Music Communications,       Medicos Entertainment,       Kadokawa Media House,       Kadokawa","Funimation,       Crunchyroll",GoHands,Original,,23 min. per ep.,PG-13 - Teens 13 or older,174,"Action, Sci-Fi",Super Power,Winter 2017,Wednesdays at 00:30 (JST)
Ice,,5.25,6615,12258,9,OVA,3,Finished Airing,"May 25, 2007 to Sep 25, 2007","None found, add some",Sentai Filmworks,PPM,Original,,37 min. per ep.,R - 17+ (violence & profanity),8,"Action, Girls Love, Sci-Fi",Military,,
Kage,Shadow,5.25,14888,12259,680,Movie,1,Finished Airing,1967,"None found, add some","None found, add some","None found, add some",Original,,3 min.,G - All Ages,1,Drama,Historical,,
Kana Kana Kazoku: Stop Rubella,,5.25,17318,12260,399,ONA,1,Finished Airing,"Dec 24, 2014","None found, add some","None found, add some",DLE,Original,,30 sec.,G - All Ages,0,Comedy,,,
Kizuna no Allele,,5.25,5210,12261,17,TV,12,Finished Airing,"Apr 4, 2023 to Jun 20, 2023","TV Tokyo,       Shogakukan-Shueisha Productions,       Animax,       Movic,       Bandai,       Shogakukan Music & Digital Entertainment,       NTT Plala,       Legs,       NetEase,       Kizuna AI","None found, add some","Wit Studio,       Signal.MD",Original,,23 min. per ep.,PG-13 - Teens 13 or older,72,,"Music, School",Spring 2023,Tuesdays at 01:30 (JST)
Mini Moni the TV,,5.25,14498,12263,772,TV,15,Finished Airing,"Sep 8, 2003 to Sep 26, 2003","None found, add some","None found, add some","None found, add some",Other,,1 min. per ep.,G - All Ages,2,Comedy,,Summer 2003,Unknown
Maji de Otaku na English! Ribbon-chan: Eigo de Tatakau Mahou Shoujo,,5.25,7937,12262,6,TV,12,Finished Airing,"Jul 31, 2012 to Nov 16, 2012","AIC,       Pastel,       AIR AGENCY","None found, add some",AIC Frontier,Original,,3 min. per ep.,PG-13 - Teens 13 or older,4,Comedy,Mahou Shoujo,Summer 2012,Unknown
Nekketsu Tantei Jimusho,,5.25,15310,12264,613,ONA,5,Finished Airing,"Sep 16, 2013 to Oct 15, 2013",CoMix Wave Films,"None found, add some","None found, add some",Unknown,,3 min. per ep.,PG-13 - Teens 13 or older,1,"Comedy, Mystery",Parody,,
Shounen Jack to Mahoutsukai,Young Jack and the Witch,5.25,13117,12265,1,Movie,1,Finished Airing,"Mar 19, 1967","None found, add some","None found, add some",Toei Animation,Unknown,,1 hr. 20 min.,G - All Ages,1,"Adventure, Fantasy",,,
Singles,,5.25,11165,12266,2,OVA,1,Finished Airing,"May 28, 1993",Shueisha,"None found, add some",Madhouse,Manga,Shoujo,30 min.,PG-13 - Teens 13 or older,0,Romance,,,
Tekusuke Monogatari,,5.25,16552,12268,463,Movie,1,Finished Airing,1938,The National Film Center Japan,"None found, add some","None found, add some",Original,,9 min.,G - All Ages,1,,Historical,,
Sweet Spot,,5.25,12730,12267,1,OVA,1,Finished Airing,"Apr 21, 1991",Group TAC,"None found, add some","None found, add some",Manga,,44 min.,PG-13 - Teens 13 or older,0,Comedy,,,
Tokyo Vice,The Tokyo Project,5.25,10160,12269,2,OVA,1,Finished Airing,"Jun 25, 1988","None found, add some",Media Blasters,J.C.Staff,Original,,53 min.,PG-13 - Teens 13 or older,1,"Action, Mystery, Sci-Fi",Mecha,,
