Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Genres,Demographics
2.43 Mini Anime: Inside Story,,5.16,12252,12436,1,ONA,10,Finished Airing,"Jan 9, 2021 to Mar 13, 2021","None found, add some","None found, add some","None found, add some",Novel,,1 min. per ep.,PG-13 - Teens 13 or older,2,,,Comedy,
Dai 13-kai Indies Anime Festa OP,,5.16,19715,12439,242,Special,1,Finished Airing,"Mar 8, 2015","None found, add some","None found, add some","None found, add some",Original,Music,54 sec.,G - All Ages,0,,,Comedy,
Color Cycling,,5.16,16417,12438,476,ONA,1,Finished Airing,"Jan 10, 2019",Decovocal,"None found, add some","None found, add some",Original,,2 min.,G - All Ages,0,,,Avant Garde,
Agukaru,Agriculture Angel BARAKI,5.16,11771,12437,1,ONA,5,Finished Airing,"Sep 17, 2010 to Apr 1, 2014",Medicrie,"None found, add some",Studio PuYUKAI,Unknown,,12 min. per ep.,PG - Children,1,,,"Slice of Life, Supernatural",
Dengeki Oshioki Musume Gootaman: Gootaman Tanjou-hen,Butt Attack Punisher Girl Gautaman,5.16,7065,12440,8,OVA,1,Finished Airing,"May 24, 1994",Movic,"None found, add some","animate Film,       Studio Kikan",Manga,"Parody, School",45 min.,R+ - Mild Nudity,10,,,"Action, Comedy, Girls Love, Ecchi",
Hanasaku Kizuna no Romantan,The Sprites of Floria,5.16,12029,12441,1,ONA,1,Finished Airing,"Sep 1, 2018",XFLAG,"None found, add some","Yokohama Animation Lab,       Arvo Animation",Game,,21 min.,G - All Ages,0,,,"Action, Adventure, Drama, Fantasy",
Momotarou: Umi no Shinpei,Momotaro: Sacred Sailors,5.16,10196,12442,2,Movie,1,Finished Airing,"Apr 12, 1945","Shochiku,       Ministry of the Navy",Funimation,Shochiku Animation Institute,Original,Military,1 hr. 15 min.,G - All Ages,6,,,Action,
Osu,Male,5.16,9386,12443,3,Movie,1,Finished Airing,"Nov 5, 1962","None found, add some","None found, add some",Mushi Production,Original,,3 min.,PG-13 - Teens 13 or older,2,,,Slice of Life,
Peeping Life,Peeping Life: The Perfect Edition,5.16,9844,12444,3,TV,10,Finished Airing,"May 14, 2009 to Aug 11, 2009",CoMix Wave Films,"None found, add some","None found, add some",Original,,5 min. per ep.,G - All Ages,4,Spring 2009,Unknown,"Comedy, Slice of Life",
Rail Romanesque,,5.16,4088,12445,29,TV,12,Finished Airing,"Oct 3, 2020 to Dec 19, 2020","None found, add some","None found, add some",Saetta,Visual novel,,3 min. per ep.,PG-13 - Teens 13 or older,24,Fall 2020,Saturdays at 01:00 (JST),Slice of Life,
Sanjougattai Transformers Go!,,5.16,13822,12446,944,OVA,10,Finished Airing,"Jul 1, 2013 to Apr 1, 2014","None found, add some","None found, add some",Tatsunoko Production,Original,Mecha,13 min. per ep.,PG - Children,0,,,"Action, Sci-Fi",
Satsujin Kippu wa Heart-iro,,5.16,12031,12447,1,OVA,1,Finished Airing,"Feb 3, 1990","Creative Bridge,       Nihon Eizo","None found, add some",Deck,Novel,,51 min.,R+ - Mild Nudity,0,,,Mystery,Shoujo
Shashinki '87,Photodiary 87,5.16,16602,12448,459,Movie,1,Finished Airing,1987,"None found, add some","None found, add some","None found, add some",Original,,3 min.,G - All Ages,1,,,Avant Garde,
Spring has come!,,5.16,18054,12449,343,ONA,1,Finished Airing,"Apr 4, 2016","None found, add some","None found, add some",Decovocal,Original,Music,44 sec.,G - All Ages,1,,,,
Starry Tales: Seiza wa Toki wo Koete,,5.16,12601,12450,1,Movie,1,Finished Airing,"Mar 19, 2011","None found, add some","None found, add some",KAGAYA Studio,Original,Space,27 min.,PG - Children,1,,,Fantasy,
Sora no Momotarou,Momotaro's Sky Adventure,5.09,12052,12551,1,Movie,1,Finished Airing,"Oct 1, 1931","None found, add some","None found, add some","None found, add some",Original,Military,12 min.,G - All Ages,0,,,"Adventure, Comedy",
UFO Gakuen no Himitsu,The Laws of the Universe: Part 0,5.09,9913,12552,3,Movie,1,Finished Airing,"Oct 10, 2015","None found, add some","None found, add some",HS Pictures Studio,Original,Space,2 hr. 5 min.,G - All Ages,4,,,Sci-Fi,
Yanesenondo,,5.09,15380,12553,602,ONA,1,Finished Airing,"Jul 30, 2009","None found, add some","None found, add some","None found, add some",Original,Music,1 min.,G - All Ages,0,,,,
"""Kinako"" Movie x Mameshiba",,5.09,15333,12554,610,Special,1,Finished Airing,"Jul 6, 2010","None found, add some","None found, add some","None found, add some",Other,Parody,15 sec.,G - All Ages,1,,,Comedy,
1/100 Train Station,,5.09,13300,12555,1,ONA,1,Finished Airing,"Jul 24, 2017",Terada Mokei,"None found, add some","None found, add some",Original,,2 min.,G - All Ages,0,,,Slice of Life,
Ano Ko ni 1000%,That Girl is 1000%,5.09,10060,12556,3,OVA,1,Finished Airing,"Nov 14, 1989","None found, add some","None found, add some",Visual 80,Manga,School,10 min.,PG-13 - Teens 13 or older,0,,,Romance,Shoujo
Ao Oni The Animation,Aooni The Blue Monster,5.09,4760,12557,21,TV,13,Finished Airing,"Oct 3, 2016 to Jan 9, 2017",DAX Production,"None found, add some",Studio Deen,Game,Gore,3 min. per ep.,R - 17+ (violence & profanity),29,Fall 2016,Mondays at 02:05 (JST),"Comedy, Horror",
Awake,,5.09,13134,12558,1,Special,2,Finished Airing,"Aug 16, 1984 to 1987",Studio AWAKE,"None found, add some","None found, add some",Original,"Mecha, Parody",3 min. per ep.,R+ - Mild Nudity,1,,,"Action, Sci-Fi",
Big Hits! ID (Yoriko Mizushiri),,5.09,18738,12560,298,Special,1,Finished Airing,2011,"None found, add some","None found, add some","None found, add some",Original,Music,12 sec.,G - All Ages,0,,,Avant Garde,
Bean Bandit,,5.09,8468,12559,5,OVA,1,Finished Airing,"Jan 19, 2021","None found, add some","None found, add some",Creators in Pack,Manga,Detective,11 min.,PG-13 - Teens 13 or older,6,,,"Action, Comedy",Seinen
Bunbuku Chagama (1958),,5.09,16638,12561,455,Movie,1,Finished Airing,1958,"Dentsu,       Dentsu Eigasha Tokyo","None found, add some","None found, add some",Other,,13 min.,G - All Ages,1,,,,
From Osaka with Cheer!,,5.09,17335,12563,399,ONA,4,Finished Airing,"Mar 30, 2008","None found, add some","None found, add some","None found, add some",Unknown,,4 min. per ep.,G - All Ages,0,,,Slice of Life,
Furudera no Obake-soudou,Taro's Monster Hunt,5.09,13089,12564,1,Movie,1,Finished Airing,1936,"None found, add some","None found, add some","None found, add some",Original,,5 min.,G - All Ages,0,,,"Action, Adventure",
Cinderella Express,,5.09,11871,12562,1,OVA,1,Finished Airing,"Aug 16, 1989","None found, add some","None found, add some","None found, add some",Manga,,47 min.,R+ - Mild Nudity,2,,,"Comedy, Romance, Ecchi",Seinen
Kekkonshiki no Tori Movie,,5.09,19867,12565,235,Special,1,Finished Airing,2010,"None found, add some","None found, add some","None found, add some",Original,Music,1 min.,G - All Ages,0,,,,
Nonsense Monogatari Dai Ippen: Sarugashima,"Nonsense Story, Volume 1: Monkey Island",5.09,13155,12566,1,Movie,1,Finished Airing,"Feb 10, 1931",The National Film Center Japan,"None found, add some","None found, add some",Original,,24 min.,G - All Ages,0,,,Adventure,
Okuni no Tame ni,For the Kingdom,5.09,15470,12567,588,Movie,1,Finished Airing,1928,"None found, add some","None found, add some","None found, add some",Original,"Historical, Military",7 min.,G - All Ages,1,,,,
Real Koke-kun,,5.09,19618,12568,248,ONA,1,Finished Airing,"Dec 15, 2013","None found, add some","None found, add some","None found, add some",Original,,1 min.,G - All Ages,0,,,Comedy,
Scoopers,,5.09,11727,12569,1,OVA,1,Finished Airing,"Dec 1, 1987","None found, add some","None found, add some",ACC Production,Manga,,58 min.,R+ - Mild Nudity,1,,,"Action, Sci-Fi",
Karo to Piyobupt: Ame no Hi,Karo & Piyobupt: Imagination,5.08,14113,12570,867,Movie,1,Finished Airing,1992,"None found, add some","None found, add some","Yamamura Animation, Inc.",Original,,4 min.,G - All Ages,0,,,Fantasy,
Ooatari Sora no Entaku,The Plane Cabby's Lucky Day,5.08,12742,12572,1,Movie,1,Finished Airing,"Oct 22, 1932","None found, add some","None found, add some","None found, add some",Original,,10 min.,G - All Ages,0,,,Comedy,
Manga Revue Haru,"Animated Revue ""Spring""",5.08,15600,12571,570,Movie,1,Finished Airing,1931,"None found, add some","None found, add some","None found, add some",Original,,9 min.,G - All Ages,0,,,,Kids
Pinky Monkey no Umareta Hi,,5.08,17529,12573,385,ONA,1,Finished Airing,"Apr 30, 2006","None found, add some","None found, add some","None found, add some",Other,,2 min.,G - All Ages,0,,,Adventure,
Ski Jumping Pairs: Road to Torino 2006,,5.08,15377,12574,603,Movie,1,Finished Airing,"Jan 28, 2006","None found, add some","None found, add some","None found, add some",Other,,4 min.,G - All Ages,1,,,"Comedy, Sports",
Spelunker Sensei,Spelunker Is a Teacher,5.08,10087,12575,3,OVA,1,Finished Airing,"Mar 16, 2011",Indeprox,"None found, add some",Studio PuYUKAI,4-koma manga,,30 min.,G - All Ages,3,,,Comedy,
Utsukushii Hoshi,Beautiful Planet,5.08,15921,12576,531,Movie,1,Finished Airing,1974,"None found, add some","None found, add some",Takun Manga Box,Unknown,,3 min.,G - All Ages,2,,,Avant Garde,
Warau Kumo,The Laughing Spider,5.08,17041,12577,420,Movie,1,Finished Airing,2016,"None found, add some","None found, add some","None found, add some",Original,,7 min.,R+ - Mild Nudity,0,,,Avant Garde,
112 Sabsections of Skyline,,5.08,14782,12578,702,ONA,1,Finished Airing,"Oct 20, 2007","None found, add some","None found, add some","None found, add some",Original,Music,3 min.,G - All Ages,1,,,,
Cakes,,5.08,17332,12579,399,ONA,1,Finished Airing,"May 9, 2016",7ji,"None found, add some","None found, add some",Original,,49 sec.,G - All Ages,0,,,Comedy,
Futon,,5.08,13583,12580,1,Movie,1,Finished Airing,2012,"None found, add some","None found, add some","None found, add some",Original,Music,6 min.,G - All Ages,2,,,Avant Garde,
Girl X,The Girl and the Monster,5.08,13028,12581,1,ONA,5,Finished Airing,"Jul 26, 2019 to Dec 2, 2021","None found, add some","None found, add some","None found, add some",Original,,1 min. per ep.,PG-13 - Teens 13 or older,0,,,"Comedy, Horror",
Hwanggeum Nalgae 1.2.3.,Goldwing,5.08,15590,12582,572,Movie,1,Finished Airing,"Jan 5, 1978",Harmony Gold,"None found, add some","None found, add some",Unknown,Mecha,1 hr. 11 min.,G - All Ages,1,,,"Action, Sci-Fi",
Chainsaw Maid Episode 0,Chainsaw Maid: Episode Zero,5.07,10755,12583,2,Special,1,Finished Airing,"Oct 29, 2010",Pony Canyon,"None found, add some","None found, add some",Original,,3 min.,R - 17+ (violence & profanity),1,,,"Comedy, Horror, Supernatural, Suspense",
Doukyuusei 2 (OVA) Special: Sotsugyousei,,5.07,11333,12584,2,OVA,3,Finished Airing,"Sep 10, 1999 to Mar 10, 2000",Pink Pineapple,"None found, add some","None found, add some",Unknown,"Harem, School",28 min. per ep.,R+ - Mild Nudity,2,,,Ecchi,
Drawing!!,,5.07,18369,12585,322,ONA,1,Finished Airing,"Jul 9, 2007","None found, add some","None found, add some","None found, add some",Original,Music,1 min.,G - All Ages,1,,,Avant Garde,
Gulliver Funtouki,Gulliver's Great Activities,5.07,14111,12586,868,Movie,1,Finished Airing,1950,"None found, add some","None found, add some","None found, add some",Book,,9 min.,G - All Ages,1,,,Adventure,
Hentatsu (TV),,5.07,8093,12587,5,TV,12,Finished Airing,"Jan 4, 2020 to Mar 21, 2020","None found, add some","None found, add some",Yaoyorozu,Original,,1 min. per ep.,G - All Ages,4,Winter 2020,Saturdays at 23:57 (JST),"Adventure, Mystery",
Honda-san x Taka no Tsume,,5.07,13092,12588,1,ONA,1,Finished Airing,"Nov 3, 2018","None found, add some","None found, add some",DLE,Other,Parody,3 min.,G - All Ages,0,,,Comedy,
Inu ni Nattara Suki na Hito ni Hirowareta.,My Life as Inukai-san's Dog.,5.07,1882,12589,116,TV,12,Finished Airing,"Jan 7, 2023 to Mar 25, 2023","Kodansha,       KlockWorx,       Asmik Ace,       King Records,       WWWave",Sentai Filmworks,Quad,Web manga,,12 min. per ep.,R+ - Mild Nudity,663,Winter 2023,Saturdays at 01:35 (JST),"Comedy, Ecchi",
Itoshi no Betty Mamonogatari,,5.07,12853,12590,1,Movie,1,Finished Airing,"Jul 19, 1986",Big Bang,"None found, add some","None found, add some",Manga,,53 min.,R+ - Mild Nudity,0,,,"Fantasy, Romance",Seinen
Kokoro no Chikara,Power of the Heart,5.07,14445,12591,785,Movie,1,Finished Airing,1931,"None found, add some","None found, add some","None found, add some",Unknown,Historical,11 min.,G - All Ages,0,,,"Adventure, Romance",
Kujakuou: Sengoku Tensei,Kujakuou Sengokutensei,5.07,14231,12592,837,ONA,1,Finished Airing,"Oct 21, 2014","None found, add some","None found, add some","Gathering,       Asahi Production",Manga,"Historical, Mythology, Time Travel",3 min.,PG-13 - Teens 13 or older,0,,,"Action, Supernatural",
Oshiruko,Red Bean Soup,5.07,12747,12594,1,ONA,1,Finished Airing,2005,Space Neko Company,"None found, add some","None found, add some",Original,,1 min.,G - All Ages,0,,,Comedy,
Mimizu Monogatari,Worm Story,5.07,16168,12593,502,Movie,1,Finished Airing,1989,"None found, add some","None found, add some","None found, add some",Original,,14 min.,G - All Ages,0,,,Avant Garde,
Owari no Chronicle,,5.07,9455,12595,3,Special,1,Finished Airing,"Apr 1, 2012","None found, add some","None found, add some","None found, add some",Light novel,,38 sec.,PG-13 - Teens 13 or older,5,,,"Action, Adventure, Fantasy, Sci-Fi",
Shigeo wa Handsome,,5.07,13799,12596,950,ONA,1,Finished Airing,Oct 2005,"None found, add some","None found, add some","None found, add some",Original,,3 min.,PG - Children,4,,,"Comedy, Drama",
Tori,The Bird,5.07,16179,12598,502,Movie,1,Finished Airing,1985,"None found, add some","None found, add some",Takun Manga Box,Unknown,,3 min.,G - All Ages,0,,,Avant Garde,
The Ghost of Cartoon,,5.07,17684,12597,373,Special,1,Finished Airing,"Sep 24, 2015","None found, add some","None found, add some","None found, add some",Original,Music,1 min.,G - All Ages,0,,,Avant Garde,
Truth,,5.07,19998,12599,228,Movie,1,Finished Airing,2006,"None found, add some","None found, add some","None found, add some",Original,Music,2 min.,G - All Ages,0,,,Avant Garde,
Usaband,,5.07,16227,12600,496,ONA,1,Finished Airing,"Sep 10, 2009","None found, add some","None found, add some","None found, add some",Original,Music,1 min.,G - All Ages,0,,,,
Zettai Shougeki: Platonic Heart Picture Drama,,5.07,11926,12602,1,Special,4,Finished Airing,"Nov 27, 2008 to Feb 25, 2009","Lantis,       Studio Kikan","None found, add some",Arms,Original,Martial Arts,8 min. per ep.,R+ - Mild Nudity,0,,,"Action, Ecchi",
Warui no wo Taose!! Salaryman Man,Salaryman Man,5.07,14587,12601,750,ONA,1,Finished Airing,Nov 2004,"None found, add some","None found, add some","None found, add some",Original,Parody,2 min.,PG - Children,2,,,Comedy,
Yami wo Mitsumeru Hane,A Feather Stare at the Dark,5.06,12078,12603,1,Movie,1,Finished Airing,2003,"None found, add some","None found, add some","None found, add some",Original,,17 min.,R+ - Mild Nudity,13,,,Avant Garde,
