Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics,Premiered,Broadcast
Shoujouji no Tanuki-bayashi Ban Danemon,Danemon's Monster Hunt at Shojoji,5.14,12197,12481,1,Movie,1,Finished Airing,1935,"None found, add some","None found, add some","None found, add some",Original,Supernatural,,9 min.,G - All Ages,1,,,
Super Mario no Shouboutai,Super Mario's Fire Brigade,5.14,13892,12482,924,OVA,1,Finished Airing,1989,"None found, add some","None found, add some","Toei Animation,       Studio Junio",Game,,Educational,9 min.,G - All Ages,2,Kids,,
W-Tails Cat: A Strange Presence,,5.14,14711,12483,718,ONA,7,Finished Airing,"May 7, 2013 to Oct 24, 2013","None found, add some","None found, add some","None found, add some",Other,"Action, Sci-Fi","Detective, Mecha, Military",5 min. per ep.,PG-13 - Teens 13 or older,2,,,
Chiryokumaru,,5.14,10832,12484,2,ONA,1,Finished Airing,01-Nov-16,"None found, add some","None found, add some",Studio 4°C,Original,Action,,2 min.,PG-13 - Teens 13 or older,0,,,
Chou Futsuu Ken Chiba Densetsu,,5.14,8558,12485,5,TV,13,Finished Airing,"Jan 5, 2024 to Mar 29, 2024",Kadokawa,"None found, add some",Super Normal Studio,Original,"Comedy, Fantasy",,4 min. per ep.,PG-13 - Teens 13 or older,10,,Winter 2024,Fridays at 21:54 (JST)
Digital Devil Story: Megami Tensei,,5.14,6624,12486,9,OVA,1,Finished Airing,25-Mar-87,"Movic,       Tokuma Shoten,       Tokuma Japan","None found, add some",animate Film,Light novel,"Adventure, Drama, Fantasy, Horror, Mystery, Supernatural","Mythology, Psychological, School",45 min.,R - 17+ (violence & profanity),15,,,
Hantsu x Trash,Sexy and Stupid Water Polo Comedy!!,5.14,4396,12487,25,OVA,3,Finished Airing,"Oct 6, 2015 to Nov 4, 2016","None found, add some","None found, add some",Hoods Entertainment,Manga,"Comedy, Romance, Sports, Ecchi","School, Team Sports",12 min. per ep.,R+ - Mild Nudity,59,Seinen,,
Hentatsu (TV) Recap,,5.14,13978,12488,902,TV Special,1,Finished Airing,28-Mar-20,"None found, add some","None found, add some",Yaoyorozu,Original,"Adventure, Mystery",,1 min.,G - All Ages,0,,,
Hyper-Psychic Geo Garaga,Garaga,5.14,11039,12489,2,Movie,1,Finished Airing,21-Oct-89,Asmik Ace,Central Park Media,"Anime R,       Aubec",Manga,"Action, Adventure, Sci-Fi",,1 hr. 40 min.,R - 17+ (violence & profanity),3,,,
Ai wa KAT-TUN,,5.13,10572,12490,2,ONA,5,Finished Airing,13-Jan-12,"None found, add some","None found, add some","None found, add some",Other,Comedy,,53 sec. per ep.,G - All Ages,9,,,
Chainsaw Bunny,,5.13,9330,12491,3,ONA,1,Finished Airing,01-Aug-18,"None found, add some","None found, add some","None found, add some",Original,"Comedy, Horror, Supernatural, Suspense",,6 min.,R+ - Mild Nudity,9,,,
Choujigen Kakumei Anime: Dimension High School,,5.13,6544,12492,9,TV,11,Finished Airing,"Jan 10, 2019 to Mar 21, 2019","Polygon Pictures,       Polygon Magic",Sentai Filmworks,Asmik Ace,Original,Fantasy,School,10 min. per ep.,PG-13 - Teens 13 or older,16,,Winter 2019,Thursdays at 22:00 (JST)
Choujin Locke Special,,5.13,15206,12493,628,Special,1,Finished Airing,1979,"None found, add some","None found, add some","None found, add some",Manga,"Action, Sci-Fi",Super Power,10 min.,PG-13 - Teens 13 or older,0,,,
Enkinhou no Hako: Hakase no Sagashimono,The Researcher's Search - Perspectivenbox,5.13,12499,12494,1,Movie,1,Finished Airing,1990,"None found, add some","None found, add some","Yamamura Animation, Inc.",Original,Slice of Life,,4 min.,G - All Ages,2,,,
