,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Themes,Duration,Rating,Favorites,Genres,Demographics,Premiered,Broadcast
10,Jikan no Shihaisha,Chronos Ruler,6.30,2639,7915,68,TV,13,Finished Airing,"Jul 8, 2017 to Sep 30, 2017","Lantis,       NBCUniversal Entertainment Japan",Funimation,Project No.9,Manga,,24 min. per ep.,PG-13 - Teens 13 or older,91,"Action, Supernatural",Shounen,Summer 2017,Saturdays at 00:30 (JST)
11,Jue Ming Xiang Ying,Deadly Response,6.30,14773,7916,704,ONA,30,Finished Airing,"Jun 2, 2019 to Dec 15, 2019",Tencent Penguin Pictures,"None found, add some",BUILD DREAM,Original,Mecha,18 min. per ep.,PG-13 - Teens 13 or older,3,"Action, Sci-Fi",,,
12,Kasumin,Mistin,6.30,11778,7917,1,TV,26,Finished Airing,"Oct 13, 2001 to Apr 6, 2002",NHK,"None found, add some",OLM,Unknown,,25 min. per ep.,G - All Ages,2,Fantasy,Kids,Fall 2001,Unknown
13,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Mezase! Kameari Superstar!! Ryoutsu-shiki Idol e no Michi!,,6.30,14837,7918,690,Special,2,Finished Airing,"Oct 26, 2008 to Nov 2, 2008","None found, add some","None found, add some",Gallop,Manga,"Adult Cast, Detective",20 min. per ep.,PG-13 - Teens 13 or older,0,Comedy,Shounen,,
14,Macross FB7: Ore no Uta wo Kike!,,6.30,8175,7919,5,Movie,1,Finished Airing,"Oct 20, 2012","Big West,       flying DOG","None found, add some",Satelight,Original,"Mecha, Music, Space",1 hr. 30 min.,PG-13 - Teens 13 or older,2,"Action, Romance, Sci-Fi",,,
15,Macross Δ: Delta Shougekijou,,6.30,10957,7920,2,Special,9,Finished Airing,"Jul 22, 2016 to Mar 24, 2017","None found, add some","None found, add some",Studio PuYUKAI,Original,,5 min. per ep.,PG-13 - Teens 13 or older,2,"Comedy, Sci-Fi",,,
16,Mahou Yuugi 2D,Magical Play,6.30,8592,7921,4,ONA,24,Finished Airing,"Nov 16, 2001 to May 3, 2002","Starchild Records,       Imagica,       Arcturus","ADV Films,       Sentai Filmworks",AIC,Original,,5 min. per ep.,PG-13 - Teens 13 or older,10,"Adventure, Comedy, Fantasy",,,
17,Mai-Otome Special: Otome no Inori,,6.30,9816,7922,3,Special,1,Finished Airing,"Mar 26, 2010","None found, add some","None found, add some",Sunrise,Original,School,5 min.,PG-13 - Teens 13 or older,3,Slice of Life,,,
18,Odd Taxi Movie: In the Woods,,6.30,3419,7923,43,Movie,1,Finished Airing,"Apr 1, 2022","TV Tokyo,       Dentsu,       Pony Canyon,       AT-X,       Asmik Ace,       Crunchyroll,       Pony Canyon Enterprises,       Yoshimoto Kogyo","None found, add some","OLM,       P.I.C.S.",Original,"Adult Cast, Anthropomorphic, Organized Crime",2 hr. 7 min.,PG-13 - Teens 13 or older,116,"Drama, Mystery, Suspense",,,
19,Okusama wa Joshikousei (TV),My Wife is a High School Girl,6.30,4149,7924,29,TV,13,Finished Airing,"Jul 2, 2005 to Sep 24, 2005","None found, add some","None found, add some",Madhouse,Manga,School,24 min. per ep.,PG-13 - Teens 13 or older,38,"Comedy, Romance, Ecchi",Seinen,Summer 2005,Unknown
20,Oresama Kingdom,,6.30,9562,7926,3,OVA,14,Finished Airing,Feb 2011 to May 2013,"None found, add some","None found, add some",SynergySP,Manga,,11 min. per ep.,G - All Ages,8,Romance,Shoujo,,
21,Ookamikakushi,Okamikakushi: Masque of the Wolf,6.30,2531,7925,73,TV,12,Finished Airing,"Jan 8, 2010 to Mar 26, 2010","TBS,       flying DOG",Sentai Filmworks,AIC,Visual novel,,24 min. per ep.,PG-13 - Teens 13 or older,89,"Action, Horror, Mystery, Supernatural",,Winter 2010,Fridays at 01:59 (JST)
22,Otome Youkai Zakuro Picture Drama,,6.30,7934,7927,6,Special,2,Finished Airing,"Nov 24, 2010 to Jan 26, 2011",Aniplex,"NIS America, Inc.",J.C.Staff,Manga,"Historical, Mythology",17 min. per ep.,PG-13 - Teens 13 or older,6,"Romance, Supernatural",Seinen,,
23,Ozanari Dungeon: Kaze no Tou,,6.30,10380,7928,2,OVA,3,Finished Airing,"Sep 27, 1991 to Dec 20, 1991","Tokyo Movie Shinsha,       Gakken,       Toshiba EMI","None found, add some",Telecom Animation Film,Manga,,26 min. per ep.,PG-13 - Teens 13 or older,9,"Action, Adventure, Comedy, Fantasy",,,
24,Phantasy Star Online 2 The Animation,,6.30,2613,7929,70,TV,12,Finished Airing,"Jan 8, 2016 to Apr 1, 2016","TBS,       Sega,       Sega Games",Sentai Filmworks,Telecom Animation Film,Game,"School, Video Game",24 min. per ep.,PG-13 - Teens 13 or older,99,"Action, Sci-Fi",,Winter 2016,Fridays at 01:46 (JST)
25,Pokemon XY: New Year Special,,6.30,8006,7930,5,TV Special,1,Finished Airing,"Dec 31, 2013",TV Tokyo,"None found, add some",OLM,Game,,48 min.,PG - Children,0,"Action, Adventure, Comedy, Fantasy",Kids,,
26,Pokemon: Pikachu Koori no Daibouken,Pikachu's Great Ice Adventure,6.30,7510,7931,6,Special,1,Finished Airing,"Aug 1, 2008","None found, add some","None found, add some",OLM,Game,,21 min.,PG - Children,2,"Adventure, Comedy, Fantasy",Kids,,
27,Pure-tou no Nakama-tachi,Serendipity the Pink Dragon,6.30,12615,7932,1,TV,26,Finished Airing,"Jul 1, 1983 to Dec 23, 1983","None found, add some","None found, add some","None found, add some",Picture book,,30 min. per ep.,G - All Ages,4,Fantasy,Kids,Summer 1983,Unknown
28,Rinne no Lagrange: Kamogawa Memoria,Lagrange: The Flower of Rin-ne Episode 00,6.30,9776,7933,3,Special,1,Finished Airing,"Jul 1, 2012",Production I.G,"None found, add some",Xebec,Unknown,Mecha,23 min.,PG-13 - Teens 13 or older,0,"Action, Comedy, Sci-Fi",,,
29,Seikai no Senki II Special,,6.30,13830,7935,941,Special,1,Finished Airing,"Jul 22, 2005","None found, add some","None found, add some",Sunrise,Light novel,"Military, Space",1 hr. 32 min.,PG-13 - Teens 13 or older,1,"Action, Romance, Sci-Fi",,,
30,Saint Beast: Kouin Jojishi Tenshi Tan,,6.30,7378,7934,7,TV,13,Finished Airing,"Apr 4, 2007 to Jun 27, 2007","Avex Entertainment,       Lantis,       Marvelous AQL","None found, add some","Tokyo Kids,       Yuhodo",Mixed media,,25 min. per ep.,PG-13 - Teens 13 or older,10,Fantasy,,Spring 2007,Wednesdays at 02:00 (JST)
31,Seto no Hanayome Picture Drama,,6.30,9439,7937,3,Special,1,Finished Airing,"Mar 3, 2010",AIC,"None found, add some","None found, add some",Manga,"Parody, School",15 min.,PG-13 - Teens 13 or older,1,"Comedy, Romance",,,
32,Seikon no Qwaser II,The Qwaser of Stigmata II,6.30,1648,7936,138,TV,12,Finished Airing,"Apr 12, 2011 to Jun 28, 2011","None found, add some",Sentai Filmworks,Hoods Entertainment,Manga,"Gore, Harem, School, Super Power",24 min. per ep.,R+ - Mild Nudity,130,"Action, Supernatural, Ecchi",Seinen,Spring 2011,Tuesdays at 02:30 (JST)
33,Shakugan no Shana: Shana & Yuuji no Naze Nani Shana! Nandemo Shitsumonbako!,,6.30,7747,7938,6,Special,1,Finished Airing,"Apr 4, 2007","None found, add some",Funimation,J.C.Staff,Unknown,,5 min.,PG-13 - Teens 13 or older,2,"Comedy, Fantasy, Supernatural",,,
34,Shi Wan Ge Leng Xiaohua,,6.30,14038,7939,882,ONA,12,Finished Airing,"Jul 11, 2012 to Aug 1, 2013",Yaoqi,"None found, add some",L²Studio,Web manga,Parody,7 min. per ep.,PG-13 - Teens 13 or older,1,Comedy,,,
35,Shouwa Ahozoushi Akanuke Ichiban!,,6.30,11743,7940,1,TV,22,Finished Airing,"Oct 7, 1985 to Mar 24, 1986",TV Asahi,"None found, add some",Tatsunoko Production,Manga,,25 min. per ep.,PG-13 - Teens 13 or older,5,Comedy,Shoujo,Fall 1985,Unknown
36,"Susume, Karolina.",,6.30,10564,7941,2,ONA,1,Finished Airing,"Jun 14, 2018","None found, add some","None found, add some",Studio Colorido,Other,Strategy Game,3 min.,G - All Ages,2,,,,
37,Taichi Senjimon,Tai Chi Chasers,6.30,11785,7942,1,TV,39,Finished Airing,"Apr 29, 2007 to Jan 20, 2008","KBS,       Iconix Entertainment",4Kids Entertainment,"Toei Animation,       JM Animation",Other,,27 min. per ep.,PG - Children,8,"Action, Adventure, Fantasy",,Spring 2007,Unknown
38,Tom to Jerry (2022),Tom and Jerry,6.30,13054,7943,1,ONA,Unknown,Currently Airing,"Nov 11, 2022 to ?",Warner Bros. Japan,"None found, add some","Fanworks,       Studio Nanahoshi",Other,,1 min.,G - All Ages,2,Comedy,Kids,,
39,True Tears: Mini Chara 4-koma Gekijou,,6.30,6204,7944,10,Special,7,Finished Airing,"Mar 25, 2008 to Sep 26, 2008","Bandai Visual,       Lantis","None found, add some",P.A. Works,Original,"Parody, School",30 sec. per ep.,G - All Ages,4,Comedy,,,
40,Tsubasa to Hotaru (2015),,6.30,7790,7945,6,TV Special,4,Finished Airing,"Mar 6, 2015 to Mar 27, 2015","None found, add some","None found, add some",J.C.Staff,Manga,School,1 min. per ep.,G - All Ages,6,Romance,Shoujo,,
41,"Wake Up, Girls! Deai no Kiroku: A Brief Recording",,6.30,10508,7946,2,OVA,1,Finished Airing,"Dec 29, 2013",Avex Entertainment,"None found, add some",Ordet,Original,"Idols (Female), Music",6 min.,PG-13 - Teens 13 or older,2,,,,
42,Walkure Romanze,,6.30,1632,7947,140,TV,12,Finished Airing,"Oct 7, 2013 to Dec 23, 2013","Frontier Works,       Lantis,       Pony Canyon,       AT-X,       KlockWorx","None found, add some",8bit,Visual novel,"Harem, School",23 min. per ep.,R+ - Mild Nudity,180,"Romance, Sports, Ecchi",,Fall 2013,Mondays at 00:30 (JST)
43,Yatogame-chan Kansatsu Nikki Yonsatsume,,6.30,6632,7948,9,TV,10,Finished Airing,"Apr 9, 2022 to Jun 11, 2022","None found, add some","None found, add some","Creators in Pack,       Hayabusa Film",4-koma manga,School,3 min. per ep.,PG-13 - Teens 13 or older,19,Comedy,Shounen,Spring 2022,Saturdays at 20:54 (JST)
44,"Shijou Saikyou no Daimaou, Murabito A ni Tensei suru",The Greatest Demon Lord Is Reborn as a Typical Nobody,6.29,868,7949,282,TV,12,Finished Airing,"Apr 6, 2022 to Jun 22, 2022","AT-X,       Docomo Anime Store,       Kadokawa Media House,       BS NTV,       Kadokawa,       Simplicity,       Bandai Namco Music Live",Crunchyroll,"SILVER LINK.,       Blade",Light novel,"Harem, Reincarnation, School",24 min. per ep.,PG-13 - Teens 13 or older,"1,522","Action, Fantasy",,Spring 2022,Wednesdays at 21:00 (JST)
45,Sinbad: Mahiru no Yoru to Fushigi no Mon,Sinbad: Night at High Noon and the Wonder Gate,6.29,11888,7950,1,Movie,1,Finished Airing,"May 14, 2016",Shirogumi,"None found, add some",Nippon Animation,Original,,51 min.,G - All Ages,0,Adventure,,,
46,Sol Bianca,,6.29,7277,7951,7,OVA,2,Finished Airing,"Mar 21, 1990 to Jul 21, 1991","Half H.P Studio,       NEC Avenue",ADV Films,AIC,Original,Space,47 min. per ep.,R+ - Mild Nudity,11,"Action, Adventure, Sci-Fi",,,
47,Sore Ike! Anpanman: Roll to Laura Ukigumojou no Himitsu,,6.29,14793,7952,699,Movie,1,Finished Airing,"Jul 13, 2002","None found, add some","None found, add some",TMS Entertainment,Unknown,,50 min.,PG - Children,2,"Comedy, Fantasy",Kids,,
48,Strange Dawn,,6.29,7776,7953,6,TV,13,Finished Airing,"Jul 11, 2000 to Sep 26, 2000","None found, add some",Urban Vision,HAL Film Maker,Original,Isekai,23 min. per ep.,PG-13 - Teens 13 or older,10,"Adventure, Drama, Fantasy",,Summer 2000,Tuesdays at 18:30 (JST)
49,Tenchi Muyou! Ryououki 3rd Season Picture Drama,,6.29,12261,7954,1,Special,5,Finished Airing,"Sep 18, 2003 to Mar 16, 2005","None found, add some","None found, add some","None found, add some",Original,,5 min. per ep.,G - All Ages,1,"Comedy, Slice of Life",,,
50,Touma Kishinden Oni,,6.29,12873,7955,1,TV,25,Finished Airing,"Oct 5, 1995 to Mar 21, 1996","Sotsu,       Youmex,       Jinnan Studio","None found, add some",J.C.Staff,Game,,8 min. per ep.,PG-13 - Teens 13 or older,1,Supernatural,,Fall 1995,Thursdays at 07:35 (JST)
51,Uchuu Kaizoku Mito no Daibouken,Space Pirate Mito,6.29,9779,7957,3,TV,13,Finished Airing,"Jan 5, 1999 to Mar 30, 1999","Bandai Visual,       Shaft,       Genco","Nozomi Entertainment,       Media Blasters,       NYAV Post",Triangle Staff,Original,,24 min. per ep.,PG-13 - Teens 13 or older,9,"Action, Comedy, Sci-Fi",,Winter 1999,Tuesdays at 01:15 (JST)
52,Tsubasa to Hotaru (2016),,6.29,8461,7956,5,Special,3,Finished Airing,"May 10, 2016 to May 24, 2016","None found, add some","None found, add some",J.C.Staff,Manga,School,1 min. per ep.,G - All Ages,7,Romance,Shoujo,,
53,Uchuu no Kishi Tekkaman Blade II,Tekkaman Blade II,6.29,8613,7958,4,OVA,6,Finished Airing,"Jul 21, 1994 to Apr 21, 1995",Starchild Records,"Discotek Media,       Urban Vision",Tatsunoko Production,Unknown,"Mecha, Military, Space",30 min. per ep.,R+ - Mild Nudity,8,"Action, Adventure, Drama, Sci-Fi",,,
54,Usavich V,,6.29,11014,7959,2,TV,13,Finished Airing,"Dec 5, 2012 to Jul 12, 2013","None found, add some","None found, add some",Kanaban Graphics,Original,,1 min. per ep.,PG-13 - Teens 13 or older,0,Comedy,,Winter 2013,Unknown
55,Warau Salesman New,The Laughing Salesman,6.29,4979,7960,19,TV,12,Finished Airing,"Apr 3, 2017 to Jun 19, 2017","TMS Entertainment,       Nippon Columbia,       Shogakukan Music & Digital Entertainment,       JR East Marketing & Communications,       Sumitomo","None found, add some",Shin-Ei Animation,Manga,Adult Cast,23 min. per ep.,PG-13 - Teens 13 or older,21,"Comedy, Drama",Seinen,Spring 2017,Mondays at 23:00 (JST)
56,Watashi no Ashinaga Ojisan Specials,,6.29,14676,7961,728,TV Special,2,Finished Airing,May 2001,Bandai Visual,"None found, add some",Nippon Animation,Novel,School,45 min. per ep.,G - All Ages,0,"Comedy, Romance",,,
57,Xinghe Zhizun 2nd Season,,6.29,14559,7962,759,ONA,112,Finished Airing,"Apr 13, 2022 to May 7, 2023",Youku,"None found, add some",Ruo Hong Culture,Web novel,Historical,7 min. per ep.,PG-13 - Teens 13 or older,4,"Action, Fantasy",,,
58,Yin Yang Shi: Ping An Wu Yu,,6.29,9888,7963,3,ONA,12,Finished Airing,"Apr 21, 2018 to Jul 8, 2018","None found, add some","None found, add some","Blade,       Thundray",Game,"Historical, Mythology",5 min. per ep.,PG-13 - Teens 13 or older,9,"Comedy, Supernatural",,,
59,Yotsunoha,,6.29,6022,7964,11,OVA,2,Finished Airing,"Feb 29, 2008 to Mar 28, 2008","Rondo Robe,       Geneon Entertainment","None found, add some",HAL Film Maker,Visual novel,School,36 min. per ep.,PG-13 - Teens 13 or older,15,Romance,,,
60,Yurumates 3D,,6.29,6908,7965,8,TV,13,Finished Airing,"Apr 3, 2012 to Jun 26, 2012","DAX Production,       Takeshobo,       Right Gauge,       Dwango Music Entertainment","None found, add some",C2C,4-koma manga,,3 min. per ep.,PG-13 - Teens 13 or older,10,"Comedy, Slice of Life",Seinen,Spring 2012,Unknown
61,Yuyushiki: Nyanyashiki,,6.29,5747,7966,13,Special,6,Finished Airing,"May 29, 2013 to Oct 23, 2013","None found, add some","None found, add some",Kinema Citrus,4-koma manga,"CGDCT, Gag Humor",2 min. per ep.,PG-13 - Teens 13 or older,4,Comedy,,,
62,Zoo: Hidamari no Shi,,6.29,13140,7967,1,Movie,1,Finished Airing,"Mar 19, 2005",Toei Video,"None found, add some",Kamikaze Douga,Novel,,13 min.,PG-13 - Teens 13 or older,1,Sci-Fi,,,
63,Ai no Wakakusa Monogatari Specials,,6.29,14431,7968,788,TV Special,2,Finished Airing,2001,BS Fuji,"None found, add some",Nippon Animation,Unknown,Historical,45 min. per ep.,G - All Ages,0,"Drama, Slice of Life",,,
64,Azur Lane,Azur Lane the Animation,6.29,1380,7969,172,TV,12,Finished Airing,"Oct 3, 2019 to Mar 20, 2020","Frontier Works,       Sotsu,       Nitroplus,       TOHO animation,       i0+,       Yostar Pictures,       Stray Cats",Funimation,Bibury Animation Studios,Game,"Anthropomorphic, Military",23 min. per ep.,R+ - Mild Nudity,"1,007","Action, Sci-Fi",,Fall 2019,Thursdays at 23:30 (JST)
65,Boukyaku Battery,,6.29,9667,7970,3,ONA,1,Finished Airing,"Oct 11, 2020","Shueisha,       dugout","None found, add some",MAPPA,Manga,"School, Team Sports",20 min.,PG-13 - Teens 13 or older,14,Sports,Shounen,,
66,Busou Shinki,Busou Shinki: Armored War Goddess,6.29,3653,7971,38,TV,12,Finished Airing,"Oct 5, 2012 to Dec 21, 2012","None found, add some",Sentai Filmworks,8bit,Other,Mecha,24 min. per ep.,PG-13 - Teens 13 or older,39,"Action, Sci-Fi, Slice of Life",,Fall 2012,Fridays at 01:55 (JST)
67,ChäoS;HEAd,,6.29,853,7972,288,TV,12,Finished Airing,"Oct 9, 2008 to Dec 25, 2008","VAP,       Yomiuri Telecasting,       Kids Station",Funimation,Madhouse,Visual novel,"Harem, Psychological",27 min. per ep.,R - 17+ (violence & profanity),739,"Mystery, Sci-Fi, Supernatural, Suspense",,Fall 2008,Fridays at 23:00 (JST)
68,Code Geass: Hangyaku no Lelouch R2 Picture Drama - Last Moratorium,Code Geass: Lelouch of the Rebellion R2 Picture Drama - Last Moratorium,6.29,6211,7973,10,Special,1,Finished Airing,"Mar 26, 2014",Bandai Visual,Funimation,"None found, add some",Original,School,11 min.,PG-13 - Teens 13 or older,7,"Comedy, Slice of Life",,,
69,Daitoshokan no Hitsujikai Picture Drama,,6.29,6909,7974,8,Special,6,Finished Airing,"Dec 25, 2014 to May 28, 2015","None found, add some","None found, add some",Hoods Entertainment,Visual novel,,9 min. per ep.,PG-13 - Teens 13 or older,3,"Comedy, Ecchi",,,
70,Divergence Eve 2: Misaki Chronicles,Misaki Chronicle: Divergence Eve,6.29,7063,7975,8,TV,13,Finished Airing,"Jan 3, 2004 to Mar 27, 2004","Imagica,       KlockWorx","ADV Films,       Sentai Filmworks",Radix,Original,"Mecha, Military, Space",24 min. per ep.,PG-13 - Teens 13 or older,11,"Adventure, Drama, Sci-Fi",,Winter 2004,Saturdays at 00:30 (JST)
71,Doubutsu Takarajima,Animal Treasure Island,6.29,10040,7976,3,Movie,1,Finished Airing,"Mar 20, 1971","None found, add some",Discotek Media,Toei Animation,Novel,,1 hr. 18 min.,G - All Ages,4,Adventure,,,
72,Eiga de Toujou! Tamagotchi Dokidoki! Uchuu no Maigotchi!?,Tamagotchi: The Movie,6.29,14156,7977,856,Movie,1,Finished Airing,"Dec 15, 2007","None found, add some","None found, add some",OLM,Other,,1 hr. 27 min.,G - All Ages,4,,Kids,,
73,"Eikoku Ikka, Nihon wo Taberu",Sushi and Beyond,6.29,12302,7978,1,TV,24,Finished Airing,"Apr 12, 2015 to Oct 11, 2015",NHK,"None found, add some",Fanworks,Book,,20 min. per ep.,G - All Ages,3,"Comedy, Gourmet",,Spring 2015,Sundays at 21:10 (JST)
74,Eoneu Nal Jameseo Kkaeeoboni Bagelyeoga Doeeo Isseotda,When I Woke Up I Became a Bagel Girl,6.29,5829,7979,12,ONA,15,Finished Airing,"Nov 25, 2019 to Dec 2, 2019","None found, add some","None found, add some",Studio Animal,Web manga,Magical Sex Shift,12 min. per ep.,PG-13 - Teens 13 or older,53,"Comedy, Romance, Ecchi",,,
75,Gakuen Handsome The Animation,,6.29,8286,7981,5,OVA,1,Finished Airing,"Aug 28, 2015","None found, add some","None found, add some",Team YokkyuFuman,Visual novel,"Parody, School",32 min.,PG-13 - Teens 13 or older,10,"Boys Love, Comedy",,,
76,Fate/Extra: Last Encore,,6.29,1091,7980,222,TV,10,Finished Airing,"Jan 28, 2018 to Apr 1, 2018","Aniplex,       Marvelous Entertainment,       Notes","None found, add some",Shaft,Game,,24 min. per ep.,R - 17+ (violence & profanity),482,"Action, Fantasy, Supernatural",,Winter 2018,Sundays at 00:00 (JST)
77,Geneshaft,,6.29,5493,7982,14,TV,13,Finished Airing,"Apr 5, 2001 to Jun 28, 2001",Bandai Visual,Bandai Entertainment,"Satelight,       Studio Gazelle",Original,"Mecha, Space",23 min. per ep.,PG-13 - Teens 13 or older,15,"Adventure, Sci-Fi",,Spring 2001,Unknown
78,Genshi Shounen Ryuu,Ryu the Primitive Boy,6.29,10300,7983,2,TV,22,Finished Airing,"Oct 30, 1971 to Mar 25, 1972",TBS,"None found, add some",Toei Animation,Manga,,25 min. per ep.,PG-13 - Teens 13 or older,6,"Action, Adventure, Sci-Fi",Shounen,Fall 1971,Saturdays at 19:00 (JST)
79,Gongitsune,,6.29,12695,7984,1,Movie,1,Finished Airing,"Mar 16, 1985",Aikikaku Center,"None found, add some","None found, add some",Picture book,,1 hr. 10 min.,PG - Children,0,"Drama, Slice of Life",Kids,,
80,Hangyakusei Million Arthur 2nd Season,Operation Han-Gyaku-Sei Million Arthur 2nd Season,6.29,4907,7985,19,TV,13,Finished Airing,"Apr 4, 2019 to Jun 27, 2019","Square Enix,       Sotsu,       Genco,       Lantis,       Magic Capsule,       Fields,       bilibili,       Bandai Namco Arts,       Happinet",Funimation,J.C.Staff,Game,,24 min. per ep.,PG-13 - Teens 13 or older,19,"Action, Adventure, Fantasy",,Spring 2019,Thursdays at 22:00 (JST)
81,Heibai Wushang 2nd Season,Black and White Warriors,6.29,9273,7986,3,ONA,12,Finished Airing,"Aug 5, 2017 to Oct 14, 2017",bilibili,"None found, add some",Wawayu Animation,Manga,,15 min. per ep.,PG-13 - Teens 13 or older,6,"Action, Comedy, Supernatural",,,
82,Inakappe Taishou,General Inakappe,6.29,13019,7988,1,TV,104,Finished Airing,"Oct 4, 1970 to Sep 24, 1972","None found, add some","None found, add some",Tatsunoko Production,Unknown,,24 min. per ep.,None,2,"Comedy, Sports",,Fall 1970,Unknown
83,Hero Mask,,6.29,3899,7987,33,ONA,15,Finished Airing,"Dec 3, 2018","Sotsu,       Netflix",Sentai Filmworks,Pierrot,Original,Detective,24 min. per ep.,R - 17+ (violence & profanity),39,"Action, Mystery, Sci-Fi",,,
84,Juunenbun no Watashi e,,6.29,12121,7989,1,ONA,1,Finished Airing,"Oct 25, 2020",Half H.P Studio,"None found, add some",Flat Studio,Original,,1 min.,G - All Ages,0,Drama,,,
85,"Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Ryoutsu no Asakusa Renewal Daisakusen!! - Aa, Omoide no Hanayashiki",,6.29,15245,7991,623,Special,1,Finished Airing,"Sep 24, 2006","None found, add some","None found, add some",Gallop,Manga,"Adult Cast, Detective",20 min.,PG-13 - Teens 13 or older,0,Comedy,Shounen,,
86,King of Fighters: Another Day,,6.29,5820,7990,12,ONA,4,Finished Airing,"Dec 2, 2005 to Mar 3, 2006","None found, add some","None found, add some",Production I.G,Game,,8 min. per ep.,PG-13 - Teens 13 or older,25,"Adventure, Drama",,,
87,Koutetsu Sangokushi,,6.29,6688,7992,9,TV,25,Finished Airing,"Apr 6, 2007 to Sep 28, 2007",Nihon Ad Systems,"None found, add some",Picture Magic,Unknown,Historical,23 min. per ep.,PG-13 - Teens 13 or older,14,Adventure,,Spring 2007,Unknown
88,Kyokujitsu no Kantai,The Fleet of the Rising Sun,6.29,12118,7993,1,OVA,15,Finished Airing,"Feb 21, 1997 to 2002",Tokuma Shoten,"None found, add some",J.C.Staff,Novel,"Historical, Military",30 min. per ep.,PG-13 - Teens 13 or older,3,"Action, Drama",,,
89,Kyouryuu Shoujo Gauko,Dino Girl Gauko,6.29,11115,7994,2,ONA,20,Finished Airing,"Nov 22, 2019","None found, add some","None found, add some",Ascension,Original,Super Power,7 min. per ep.,G - All Ages,12,Comedy,,,
90,Mach GoGoGo (1997),Speed Racer X,6.29,8810,7995,4,TV,34,Finished Airing,"Jan 9, 1997 to Sep 24, 1997","TV Tokyo,       Yomiko Advertising",Funimation,Tatsunoko Production,Manga,Racing,25 min. per ep.,PG - Children,6,Adventure,,Winter 1997,Thursdays at 19:00 (JST)
