,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics
24,Ginga Tetsudou 999: Hoshizora wa Time Machine,,6.32,13237,7798,1,Movie,1,Finished Airing,"Jul 14, 2007",,,"None found, add some","None found, add some",Toei Animation,Unknown,"Drama, Sci-Fi",,32 min.,G - All Ages,0,
25,Guomin Laogong Dai Huijia 2nd season,,6.32,7810,7799,6,ONA,12,Finished Airing,"May 1, 2017 to Jul 3, 2017",,,"Tencent Penguin Pictures,       China Literature Limited","None found, add some",B.CMAY PICTURES,Novel,"Drama, Romance",School,12 min. per ep.,PG-13 - Teens 13 or older,9,
26,Hana yori Dango (Movie),Hana Yori Dango The Movie,6.32,6942,7800,8,Movie,1,Finished Airing,"Mar 8, 1997",,,"None found, add some",Discotek Media,Toei Animation,Manga,"Drama, Romance",Performing Arts,30 min.,PG-13 - Teens 13 or older,17,Shoujo
27,Hua Jianghu: Bu Liang Ren II,,6.32,13137,7801,1,ONA,40,Finished Airing,"Jul 21, 2016 to Apr 20, 2017",,,"None found, add some","None found, add some",Rocen,Original,"Adventure, Drama, Romance","Historical, Martial Arts",20 min. per ep.,R - 17+ (violence & profanity),1,
28,Idol Tenshi Youkoso Youko,Idol Angel Welcome Yoko,6.32,11120,7802,2,TV,43,Finished Airing,"Apr 2, 1990 to Feb 4, 1991",Spring 1990,Mondays at 18:00 (JST),Ashi Productions,"None found, add some","None found, add some",Original,"Comedy, Drama",,22 min. per ep.,G - All Ages,4,
29,Ikoku Meiro no Croisée: Yune & Alice,La croisée dans un labyrinthe étranger: Yune & Alice,6.32,8608,7803,4,Special,7,Finished Airing,"Sep 21, 2011 to Mar 21, 2012",,,"None found, add some","None found, add some",Satelight,Manga,Slice of Life,"Historical, Iyashikei",2 min. per ep.,G - All Ages,2,Seinen
30,Jack to Mame no Ki,Jack and the Beanstalk,6.32,11463,7805,1,Movie,1,Finished Airing,"Jul 20, 1974",,,Group TAC,"None found, add some","None found, add some",Unknown,Fantasy,,1 hr. 37 min.,G - All Ages,12,Kids
31,Inazma Delivery: Dougyousha Attack-hen,,6.32,13999,7804,893,TV,10,Finished Airing,"Dec 8, 2017 to Mar 2, 2018",Winter 2018,Unknown,"None found, add some","None found, add some",Kanaban Graphics,Original,"Action, Comedy, Sci-Fi",,2 min. per ep.,PG-13 - Teens 13 or older,2,
32,Juushinki Pandora,Last Hope,6.32,3564,7806,39,TV,26,Finished Airing,"Mar 29, 2018 to Sep 20, 2018",Spring 2018,Wednesdays at 23:30 (JST),"None found, add some","None found, add some",Satelight,Original,Sci-Fi,Mecha,23 min. per ep.,PG-13 - Teens 13 or older,43,
33,Katte ni Kaizou Specials,,6.32,9969,7807,3,Special,3,Finished Airing,"May 25, 2011 to Oct 26, 2011",,,"None found, add some","None found, add some",Shaft,Manga,"Comedy, Sci-Fi","Parody, School",7 min. per ep.,R+ - Mild Nudity,2,Shounen
34,Kidou Senshi Gundam SEED MSV Astray,Mobile Suit Gundam SEED MSV Astray,6.32,5725,7808,13,OVA,2,Finished Airing,"Mar 1, 2004 to Jul 1, 2004",,,"None found, add some","None found, add some",Sunrise,Original,Sci-Fi,"Mecha, Military, Space",5 min. per ep.,PG-13 - Teens 13 or older,10,
35,King of Prism by Pretty Rhythm Short Anime,,6.32,13309,7809,1,Special,1,Finished Airing,"Jun 17, 2016",,,"None found, add some","None found, add some","None found, add some",Original,"Comedy, Fantasy","Idols (Male), Music",19 min.,PG - Children,1,
36,Kouya no Shounen Isamu,,6.32,12048,7810,1,TV,52,Finished Airing,"Apr 4, 1973 to Mar 27, 1974",Spring 1973,Wednesdays at 19:00 (JST),"Fuji TV,       Shin-Ei Animation","None found, add some",Tokyo Movie Shinsha,Unknown,"Action, Adventure",,24 min. per ep.,G - All Ages,4,Shounen
37,Kyoukai Senki,AMAIM Warrior at the Borderline,6.32,3918,7811,32,TV,13,Finished Airing,"Oct 5, 2021 to Dec 28, 2021",Fall 2021,Tuesdays at 01:30 (JST),Bandai Spirits,Funimation,Sunrise Beyond,Original,"Action, Sci-Fi",Mecha,24 min. per ep.,PG-13 - Teens 13 or older,132,
38,Larva 2nd Season,,6.32,12041,7812,1,TV,52,Finished Airing,"Jan 5, 2013 to Sep 21, 2013",Winter 2013,Unknown,TUBA,"None found, add some","None found, add some",Original,Comedy,,4 min. per ep.,G - All Ages,3,
39,Larva 3rd Season,Larva 3,6.32,13213,7813,1,TV,104,Finished Airing,"Aug 4, 2014 to Dec 7, 2015",Summer 2014,Unknown,TUBA,"None found, add some","None found, add some",Original,Comedy,,2 min. per ep.,G - All Ages,2,
40,Liar Liar,,6.32,1597,7814,144,TV,12,Finished Airing,"Jul 8, 2023 to Sep 23, 2023",Summer 2023,Saturdays at 22:30 (JST),"Shochiku,       Tokyo MX,       CyberAgent,       Kadokawa,       BS Asahi,       Bushiroad Move,       Geek Pictures,       qooop","None found, add some",Geek Toys,Light novel,Suspense,"Psychological, School, Strategy Game",23 min. per ep.,PG-13 - Teens 13 or older,684,
41,Mad★Bull 34,Mad Bull 34,6.32,5885,7815,12,OVA,4,Finished Airing,"Dec 21, 1990 to Aug 21, 1992",,,Pony Canyon,"Discotek Media,       Manga Entertainment",Magic Bus,Manga,Action,"Detective, Gore",47 min. per ep.,R+ - Mild Nudity,69,
42,Meiji Gekken: 1874,,6.32,5789,7816,13,TV,10,Finished Airing,"Jan 14, 2024 to Mar 17, 2024",Winter 2024,Sundays at 23:00 (JST),"Ai Addiction,       Crunchyroll","None found, add some",Tsumugi Akita Animation Lab,Original,Action,"Historical, Samurai",27 min. per ep.,R - 17+ (violence & profanity),39,
43,Meimon! Daisan Yakyuu-bu,Meimon! The Third Baseball Club,6.32,13223,7817,1,TV,40,Finished Airing,"Oct 20, 1988 to Sep 29, 1989",Fall 1988,Unknown,"Studio Comet,       Nihon Ad Systems,       Fuji TV","None found, add some","None found, add some",Unknown,Sports,Team Sports,24 min. per ep.,PG-13 - Teens 13 or older,1,Shounen
44,Monster Strike the Movie: Sora no Kanata,,6.32,9729,7819,3,Movie,1,Finished Airing,"Oct 5, 2018",,,XFLAG,"None found, add some",Orange,Game,"Action, Fantasy",Video Game,1 hr. 37 min.,None,4,
45,Miyamoto Musashi: Souken ni Haseru Yume,Musashi: The Dream of the Last Samurai,6.32,7522,7818,6,Movie,1,Finished Airing,"Jun 13, 2009",,,"None found, add some","None found, add some",Production I.G,Unknown,Action,"Historical, Martial Arts, Samurai",1 hr. 12 min.,R - 17+ (violence & profanity),5,
46,Mori no Youki na Kobito-tachi: Belfy to Lillibit,The Littl' Bits,6.32,11769,7820,1,TV,26,Finished Airing,"Jan 7, 1980 to Jun 30, 1980",Winter 1980,Unknown,Meruhensha,Saban Entertainment,Tatsunoko Production,Unknown,"Adventure, Comedy, Fantasy",,25 min. per ep.,G - All Ages,4,
47,Ojamajo Doremi: Owarai Gekijou,,6.32,11353,7821,2,ONA,26,Finished Airing,"Mar 23, 2019 to Mar 22, 2020",,,Toei Animation,"None found, add some","None found, add some",Unknown,Comedy,,1 min. per ep.,G - All Ages,2,
48,Okusama wa Mahou Shoujo,Madam is a Magical Girl,6.32,6318,7822,10,TV,13,Finished Airing,"Jul 4, 2005 to Sep 26, 2005",Summer 2005,Mondays at 00:00 (JST),"Media Factory,       Amber Film Works","None found, add some",J.C.Staff,Original,"Fantasy, Romance",Mahou Shoujo,24 min. per ep.,PG-13 - Teens 13 or older,15,
49,Oneechan ga Kita,,6.32,1830,7823,120,TV,12,Finished Airing,"Jan 9, 2014 to Mar 27, 2014",Winter 2014,Unknown,"Takeshobo,       Studio CHANT","None found, add some",C2C,4-koma manga,"Comedy, Slice of Life",,3 min. per ep.,PG-13 - Teens 13 or older,102,
50,Ore no Imouto ga Konnani Kawaii Wake ga Nai. Specials,OreImo 2 Specials,6.32,1617,7824,142,ONA,3,Finished Airing,"Aug 18, 2013",,,"Aniplex,       Movic,       ASCII Media Works,       Bandai Namco Games",Aniplex of America,A-1 Pictures,Light novel,"Comedy, Romance",Otaku Culture,24 min. per ep.,PG-13 - Teens 13 or older,181,
51,Osomatsu-san Movie: Gekijou Koukai Kinen - Original Tanpen Gekijou,,6.32,12626,7825,1,ONA,7,Finished Airing,"Mar 1, 2019 to Mar 15, 2019",,,"None found, add some","None found, add some",Pierrot,Manga,Comedy,Parody,2 min. per ep.,R - 17+ (violence & profanity),0,
52,Persona 4 the Animation: A Brief Lesson on Izanagi & Izanami,,6.32,7270,7826,7,Special,1,Finished Airing,"Apr 1, 2013",,,Aniplex,"None found, add some",AIC ASTA,Game,,School,1 min.,PG-13 - Teens 13 or older,5,
53,Pinocchio yori Piccolino no Bouken,The Adventures of Piccolino,6.32,10617,7827,2,TV,52,Finished Airing,"Apr 27, 1976 to May 31, 1977",Spring 1976,Unknown,"None found, add some","None found, add some",Nippon Animation,Novel,Adventure,,24 min. per ep.,G - All Ages,3,Kids
54,Pokemon Diamond & Pearl Atsumare! Pokemon Hoshi Matsuri,,6.32,13760,7828,964,Movie,1,Finished Airing,"May 31, 2008",,,"None found, add some","None found, add some","None found, add some",Game,"Action, Adventure, Comedy, Fantasy",,22 min.,PG - Children,0,Kids
55,Princess Principal Picture Drama,,6.32,6958,7829,8,Special,6,Finished Airing,"Sep 27, 2017 to Feb 23, 2018",,,"Bandai Visual,       Lantis,       Movic,       Medicos Entertainment",Sentai Filmworks,"Actas,       Studio 3Hz",Original,Slice of Life,,3 min. per ep.,PG-13 - Teens 13 or older,4,
56,Qin Shi Mingyue 3D: Dianying Longteng Wanli,The Legend of Qin 3D Ancient Dragon Spirit,6.32,12860,7830,1,Movie,1,Finished Airing,"Aug 8, 2014",,,Beijing Enlight Pictures,"None found, add some",Sparkly Key Animation Studio,Novel,"Action, Fantasy","Historical, Martial Arts",1 hr. 38 min.,PG-13 - Teens 13 or older,3,
57,Rikujou Bouei-tai Mao-chan,Ground Defense Force! Mao-chan,6.32,7966,7831,5,TV,26,Finished Airing,"Jul 4, 2002 to Dec 26, 2002",Summer 2002,Thursdays at 02:35 (JST),"None found, add some",Geneon Entertainment USA,Xebec,Original,"Comedy, Sci-Fi",Military,12 min. per ep.,G - All Ages,12,Kids
58,Sanrio Anime Sekai Meisaku Gekijou,Hello Kitty's Furry Tale Theater,6.32,11335,7832,2,TV,13,Finished Airing,"Sep 19, 1987 to Dec 12, 1987",Fall 1987,Unknown,Sanrio,"None found, add some",Toei Animation,Unknown,"Adventure, Fantasy",,24 min. per ep.,G - All Ages,3,Kids
59,Seikimatsu★Darling,,6.32,6919,7833,8,OVA,1,Finished Airing,"Feb 16, 1996",,,Magic Bus,"None found, add some",Horannabi,Manga,"Boys Love, Comedy, Drama",,30 min.,PG-13 - Teens 13 or older,8,
60,Senkou no Night Raid: Yogen,Night Raid 1931: The Prophecy,6.32,9144,7834,4,Special,1,Finished Airing,"May 18, 2010",,,Aniplex,Sentai Filmworks,A-1 Pictures,Original,Action,"Historical, Military, Super Power",23 min.,R - 17+ (violence & profanity),4,
61,Senran Kagura Shinovi Master: Tokyo Youma-hen,Senran Kagura: Shinovi Master,6.32,3309,7835,45,TV,12,Finished Airing,"Oct 13, 2018 to Dec 29, 2018",Fall 2018,Saturdays at 00:00 (JST),"Sotsu,       Lantis,       AT-X,       Crunchyroll SC Anime Fund",Funimation,TNK,Game,"Action, Comedy, Ecchi",School,23 min. per ep.,R+ - Mild Nudity,102,
62,Shakotan★Boogie,,6.32,10939,7836,2,OVA,4,Finished Airing,"Feb 6, 1991 to Jul 17, 1992",,,Pony Canyon,"None found, add some",Pierrot,Manga,"Action, Comedy","Delinquents, Racing, School",55 min. per ep.,PG-13 - Teens 13 or older,16,Seinen
63,"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su - Saishin Wa made Maruwakari! Chousoku Digest",Shangri-La Frontier: Get Yourselves Caught up With This Light-Speed Recap!,6.32,9132,7837,4,TV Special,1,Finished Airing,"Jan 14, 2024",,,"None found, add some","None found, add some",C2C,Manga,"Action, Adventure, Fantasy",Video Game,23 min.,PG-13 - Teens 13 or older,15,Shounen
64,Kaze no Na wa Amnesia,A Wind Named Amnesia,6.31,4834,7838,20,Movie,1,Finished Airing,"Dec 22, 1990",,,Japan Home Video,"Central Park Media,       Discotek Media",Madhouse,Light novel,"Action, Avant Garde, Drama, Sci-Fi",,1 hr. 20 min.,R+ - Mild Nudity,53,
65,Koi☆Sento,Coicent,6.31,6930,7839,8,OVA,1,Finished Airing,"Nov 27, 2010",,,Showgate,Sentai Filmworks,Sunrise,Original,"Comedy, Romance, Sci-Fi",,25 min.,PG-13 - Teens 13 or older,3,
66,Koukaku Kidoutai: Ghost Chaser,Ghost in the Shell: Ghost Chaser,6.31,10316,7840,2,Movie,1,Finished Airing,"Nov 2, 2018",,,Khaki,"None found, add some",Production I.G,Manga,"Action, Mystery, Sci-Fi",Detective,8 min.,PG-13 - Teens 13 or older,5,Seinen
67,Kuma Miko,Kumamiko: Girl Meets Bear,6.31,2485,7841,75,TV,12,Finished Airing,"Apr 3, 2016 to Jun 19, 2016",Spring 2016,Sundays at 23:30 (JST),"AT-X,       Sony Music Communications,       Kadokawa",Funimation,"Kinema Citrus,       EMT Squared",Manga,"Comedy, Slice of Life",,24 min. per ep.,PG-13 - Teens 13 or older,86,Seinen
68,Kuusen Madoushi Kouhosei no Kyoukan,Sky Wizards Academy,6.31,948,7842,258,TV,12,Finished Airing,"Jul 9, 2015 to Sep 24, 2015",Summer 2015,Thursdays at 00:30 (JST),"flying DOG,       Kadokawa",Funimation,Diomedéa,Light novel,"Action, Drama, Fantasy",School,23 min. per ep.,PG-13 - Teens 13 or older,345,
69,Kyouryuu Shoujo Gauko 2nd Season,Dino Girl Gauko Season 2,6.31,13265,7843,1,ONA,19,Finished Airing,"Mar 20, 2020",,,"None found, add some","None found, add some",Ascension,Original,Comedy,Super Power,9 min. per ep.,G - All Ages,3,
70,Lupin III: Pilot Film (1978),,6.31,7905,7844,6,Movie,1,Finished Airing,"Dec 16, 1978",,,"Tokyo Movie Shinsha,       TOHO","None found, add some","None found, add some",Manga,"Action, Adventure, Comedy, Mystery",Adult Cast,12 min.,R+ - Mild Nudity,2,Seinen
71,Magikano,,6.31,3772,7845,35,TV,13,Finished Airing,"Jan 1, 2006 to Apr 1, 2006",Winter 2006,Unknown,"Lantis,       DAX Production","ADV Films,       Funimation",Tokyo Kids,Manga,"Comedy, Fantasy, Romance",Harem,24 min. per ep.,PG-13 - Teens 13 or older,42,Shounen
72,Maroko,,6.31,11465,7847,1,Movie,1,Finished Airing,"Mar 19, 1990",,,"None found, add some","None found, add some",Pierrot,Original,"Comedy, Drama, Sci-Fi",Psychological,1 hr. 29 min.,R - 17+ (violence & profanity),2,
73,Maken-Ki!,,6.31,830,7846,295,TV,12,Finished Airing,"Oct 5, 2011 to Dec 21, 2011",Fall 2011,Wednesdays at 01:45 (JST),"AIC,       Kadokawa Shoten,       Nippon Columbia",Funimation,AIC Spirits,Manga,"Action, Ecchi","Harem, Martial Arts, School, Super Power",24 min. per ep.,R+ - Mild Nudity,452,Shounen
74,Midnight Grand Mos Burger,,6.31,19195,7848,271,ONA,1,Finished Airing,"Sep 14, 2022",,,"None found, add some","None found, add some","YURUPPE Inc.,       CHOCOLATE",Original,"Action, Gourmet, Sci-Fi",Music,45 sec.,G - All Ages,0,
75,MiniPato,Mobile Police Patlabor Minimum,6.31,9585,7849,3,Movie,3,Finished Airing,"Mar 30, 2002 to Apr 13, 2002",,,"Bandai Visual,       Tohokushinsha Film Corporation","Maiden Japan,       Geneon Entertainment USA",Production I.G,Original,,Parody,12 min. per ep.,PG - Children,3,
76,Mizuiro (2003),,6.31,8958,7850,4,OVA,2,Finished Airing,"Apr 25, 2003 to Oct 10, 2003",,,NEC Avenue,"None found, add some",OLM,Visual novel,"Drama, Romance, Supernatural",,29 min. per ep.,PG-13 - Teens 13 or older,2,
77,Nangoku Shounen Papuwa-kun,,6.31,12395,7851,1,TV,42,Finished Airing,"Oct 10, 1992 to Oct 2, 1993",Fall 1992,Saturdays at 19:30 (JST),TV Asahi,"None found, add some",Nippon Animation,Manga,"Adventure, Comedy",,25 min. per ep.,PG-13 - Teens 13 or older,0,Shounen
78,Pokemon Best Wishes! Season 2: Decolora Adventure,Pokémon: Black & White: Adventures in Unova and Beyond,6.31,3257,7852,46,TV,20,Finished Airing,"Apr 25, 2013 to Sep 26, 2013",Spring 2013,Thursdays at 19:00 (JST),TV Tokyo,The Pokemon Company International,OLM,Game,"Action, Adventure, Comedy, Fantasy",,22 min. per ep.,PG - Children,24,Kids
79,Poputepipikku Kinen,Pop Team Epic Kinen,6.31,7817,7853,6,ONA,1,Finished Airing,"Jun 14, 2018",,,"None found, add some","None found, add some",Space Neko Company,4-koma manga,Sports,Parody,2 min.,PG-13 - Teens 13 or older,5,
80,Queen's Blade OVA,,6.31,5173,7854,17,OVA,2,Finished Airing,"Oct 29, 2011 to Jan 28, 2012",,,"Genco,       Media Factory,       Hobby Japan","None found, add some",Arms,Other,"Action, Adventure, Fantasy, Ecchi",,21 min. per ep.,R+ - Mild Nudity,17,
81,Red Garden: Dead Girls,,6.31,6993,7855,8,OVA,1,Finished Airing,"Aug 8, 2007",,,"GDH,       Sotsu Music Publishing","ADV Films,       Funimation",Gonzo,Original,Mystery,Mecha,44 min.,R - 17+ (violence & profanity),9,
82,Ring ni Kakero 1: Sekai Taikai-hen,,6.31,11497,7856,1,TV,6,Finished Airing,"Apr 10, 2011 to Jun 12, 2011",Spring 2011,Unknown,"None found, add some","None found, add some",Toei Animation,Manga,Sports,Combat Sports,24 min. per ep.,PG-13 - Teens 13 or older,2,
83,Robot Girls Z Specials,,6.31,9780,7857,3,Special,3,Finished Airing,"Jun 13, 2014 to Aug 8, 2014",,,"Nippon Columbia,       LandQ studios","None found, add some",Toei Animation,Original,Comedy,"Anthropomorphic, Parody",9 min. per ep.,PG-13 - Teens 13 or older,0,
84,Shin Minashigo Hutch,The New Adventures of Hutch the Honeybee,6.31,12225,7860,1,TV,26,Finished Airing,"Apr 5, 1974 to Sep 27, 1974",Spring 1974,Unknown,"None found, add some","None found, add some",Tatsunoko Production,Unknown,"Adventure, Comedy, Drama",,24 min. per ep.,G - All Ages,2,
85,Romeo no Aoi Sora Specials,,6.31,13549,7858,1,TV Special,2,Finished Airing,2001,,,"None found, add some","None found, add some",Nippon Animation,Novel,"Adventure, Drama",Historical,45 min. per ep.,G - All Ages,2,
86,Seven Knights Revolution: Eiyuu no Keishousha,Seven Knights Revolution: Hero Successor,6.31,2908,7859,57,TV,12,Finished Airing,"Apr 5, 2021 to Jun 21, 2021",Spring 2021,Mondays at 00:00 (JST),"Rakuonsha,       TOHO animation","None found, add some","LIDENFILMS,       domerica",Game,"Action, Adventure, Fantasy",,23 min. per ep.,R - 17+ (violence & profanity),183,
87,Shiyan Pin Jiating,Frankenstein Family,6.31,3211,7861,47,ONA,12,Finished Airing,"Apr 9, 2018 to Jun 19, 2018",,,"Tencent Penguin Pictures,       KJJ Animation,       Da Huoniao Donghua","None found, add some",Big Firebird Culture,Web manga,"Sci-Fi, Slice of Life",,16 min. per ep.,PG-13 - Teens 13 or older,55,
88,Shoujo-tachi wa Kouya wo Mezasu,Girls Beyond the Wasteland,6.31,1834,7862,120,TV,12,Finished Airing,"Jan 7, 2016 to Mar 24, 2016",Winter 2016,Thursdays at 22:30 (JST),"Sotsu,       Lantis,       Barnum Studio,       Magic Capsule,       Warner Bros. Japan,       KlockWorx,       Cospa,       ASCII Media Works,       Medicos Entertainment,       Hakuhodo DY Media Partners,       Kadokawa,       Hawkeye",Sentai Filmworks,Project No.9,Visual novel,,"Otaku Culture, School",24 min. per ep.,PG-13 - Teens 13 or older,174,
89,Super Zugan,,6.31,12869,7863,1,TV,21,Finished Airing,"Oct 9, 1992 to Mar 13, 1993",Fall 1992,Fridays at 01:10 (JST),"Kitty Films,       Fuji TV","None found, add some",Studio Deen,Manga,Comedy,Strategy Game,25 min. per ep.,PG-13 - Teens 13 or older,3,Shounen
90,Tatakae!! Ramenman,Fight!! Ramenman,6.31,11506,7864,1,TV,35,Finished Airing,"Jan 10, 1988 to Sep 11, 1988",Winter 1988,Unknown,Yomiko Advertising,"None found, add some",Toei Animation,Manga,"Action, Adventure",Martial Arts,23 min. per ep.,R - 17+ (violence & profanity),9,Shounen
